Day, Time, Sender Region, Receiver Region, Provider, Processor, Low ABW, High ABW
Sat,14:21:59,US-East-2,EU-West-2,Amazon-Web-Services,Intel-Xeon-2.5-GHz,539,545
Sat,14:27:24,US-East-2,EU-West-2,Amazon-Web-Services,Intel-Xeon-2.5-GHz,566,571
Sat,14:32:50,US-East-2,EU-West-2,Amazon-Web-Services,Intel-Xeon-2.5-GHz,374,374
Sat,14:38:15,US-East-2,EU-West-2,Amazon-Web-Services,Intel-Xeon-2.5-GHz,510,521
Sat,14:43:50,US-East-2,EU-West-2,Amazon-Web-Services,Intel-Xeon-2.5-GHz,600,600
Sat,14:49:11,US-East-2,EU-West-2,Amazon-Web-Services,Intel-Xeon-2.5-GHz,545,571
Sat,14:54:28,US-East-2,EU-West-2,Amazon-Web-Services,Intel-Xeon-2.5-GHz,500,571
Sat,14:59:55,US-East-2,EU-West-2,Amazon-Web-Services,Intel-Xeon-2.5-GHz,372,426
Sat,15:05:17,US-East-2,EU-West-2,Amazon-Web-Services,Intel-Xeon-2.5-GHz,387,395
Sat,15:10:38,US-East-2,EU-West-2,Amazon-Web-Services,Intel-Xeon-2.5-GHz,516,516
Sat,15:16:02,US-East-2,EU-West-2,Amazon-Web-Services,Intel-Xeon-2.5-GHz,375,375
Sat,15:21:37,US-East-2,EU-West-2,Amazon-Web-Services,Intel-Xeon-2.5-GHz,600,600
Sat,15:26:58,US-East-2,EU-West-2,Amazon-Web-Services,Intel-Xeon-2.5-GHz,428,439
Sat,15:32:22,US-East-2,EU-West-2,Amazon-Web-Services,Intel-Xeon-2.5-GHz,566,571
Sat,15:37:43,US-East-2,EU-West-2,Amazon-Web-Services,Intel-Xeon-2.5-GHz,600,631
Sat,15:43:01,US-East-2,EU-West-2,Amazon-Web-Services,Intel-Xeon-2.5-GHz,444,454
Sat,15:48:22,US-East-2,EU-West-2,Amazon-Web-Services,Intel-Xeon-2.5-GHz,566,571
Sat,15:53:43,US-East-2,EU-West-2,Amazon-Web-Services,Intel-Xeon-2.5-GHz,500,600
Sat,15:59:01,US-East-2,EU-West-2,Amazon-Web-Services,Intel-Xeon-2.5-GHz,521,542
Sat,16:53:14,US-East-2,EU-West-2,Amazon-Web-Services,Intel-Xeon-2.5-GHz,351,352
Sat,16:58:39,US-East-2,EU-West-2,Amazon-Web-Services,Intel-Xeon-2.5-GHz,352,352
Sat,17:03:59,US-East-2,EU-West-2,Amazon-Web-Services,Intel-Xeon-2.5-GHz,351,352
Sat,17:14:23,US-East-2,EU-West-2,Amazon-Web-Services,Intel-Xeon-2.5-GHz,352,352
Sat,17:19:47,US-East-2,EU-West-2,Amazon-Web-Services,Intel-Xeon-2.5-GHz,333,333
Sat,17:25:11,US-East-2,EU-West-2,Amazon-Web-Services,Intel-Xeon-2.5-GHz,324,331
Sat,17:30:35,US-East-2,EU-West-2,Amazon-Web-Services,Intel-Xeon-2.5-GHz,324,324
Sat,19:46:29,US-East-2,EU-West-2,Amazon-Web-Services,Intel-Xeon-2.5-GHz,387,387
Sat,19:53:12,US-East-2,EU-West-2,Amazon-Web-Services,Intel-Xeon-2.5-GHz,571,600
Sat,19:58:32,US-East-2,EU-West-2,Amazon-Web-Services,Intel-Xeon-2.5-GHz,571,631
Sat,20:03:53,US-East-2,EU-West-2,Amazon-Web-Services,Intel-Xeon-2.5-GHz,436,444
Sat,20:09:35,US-East-2,EU-West-2,Amazon-Web-Services,Intel-Xeon-2.5-GHz,592,600
Sat,20:14:59,US-East-2,EU-West-2,Amazon-Web-Services,Intel-Xeon-2.5-GHz,490,500
Sat,20:20:22,US-East-2,EU-West-2,Amazon-Web-Services,Intel-Xeon-2.5-GHz,600,600
Sat,20:25:43,US-East-2,EU-West-2,Amazon-Web-Services,Intel-Xeon-2.5-GHz,631,631
Sat,20:31:09,US-East-2,EU-West-2,Amazon-Web-Services,Intel-Xeon-2.5-GHz,600,631
Sat,20:36:27,US-East-2,EU-West-2,Amazon-Web-Services,Intel-Xeon-2.5-GHz,500,600
Sat,20:46:09,US-East-2,EU-West-2,Amazon-Web-Services,Intel-Xeon-2.5-GHz,631,666
Sat,20:51:30,US-East-2,EU-West-2,Amazon-Web-Services,Intel-Xeon-2.5-GHz,631,631
Sat,20:56:51,US-East-2,EU-West-2,Amazon-Web-Services,Intel-Xeon-2.5-GHz,421,666
Sat,21:02:28,US-East-2,EU-West-2,Amazon-Web-Services,Intel-Xeon-2.5-GHz,600,631
Sat,21:07:51,US-East-2,EU-West-2,Amazon-Web-Services,Intel-Xeon-2.5-GHz,500,517
Sat,21:13:24,US-East-2,EU-West-2,Amazon-Web-Services,Intel-Xeon-2.5-GHz,558,571
Sat,21:18:44,US-East-2,EU-West-2,Amazon-Web-Services,Intel-Xeon-2.5-GHz,631,631
Sat,21:24:05,US-East-2,EU-West-2,Amazon-Web-Services,Intel-Xeon-2.5-GHz,571,600
Sat,21:29:23,US-East-2,EU-West-2,Amazon-Web-Services,Intel-Xeon-2.5-GHz,406,413
Sat,21:35:11,US-East-2,EU-West-2,Amazon-Web-Services,Intel-Xeon-2.5-GHz,600,631
Sat,21:40:29,US-East-2,EU-West-2,Amazon-Web-Services,Intel-Xeon-2.5-GHz,571,600
Sat,21:45:47,US-East-2,EU-West-2,Amazon-Web-Services,Intel-Xeon-2.5-GHz,428,473
Sat,21:51:19,US-East-2,EU-West-2,Amazon-Web-Services,Intel-Xeon-2.5-GHz,373,444
Sat,21:56:59,US-East-2,EU-West-2,Amazon-Web-Services,Intel-Xeon-2.5-GHz,571,592
