Day, Time, Sender Region, Receiver Region, Provider, Processor, Low ABW, High ABW
Thu,15:09:51,US-East-2,EU-West-2,Amazon-Web-Services,Intel-Xeon-2.5-GHz,562,571
Thu,15:15:08,US-East-2,EU-West-2,Amazon-Web-Services,Intel-Xeon-2.5-GHz,666,705
Thu,15:20:28,US-East-2,EU-West-2,Amazon-Web-Services,Intel-Xeon-2.5-GHz,631,705
Thu,15:25:53,US-East-2,EU-West-2,Amazon-Web-Services,Intel-Xeon-2.5-GHz,666,705
Thu,15:31:13,US-East-2,EU-West-2,Amazon-Web-Services,Intel-Xeon-2.5-GHz,666,666
Thu,15:36:31,US-East-2,EU-West-2,Amazon-Web-Services,Intel-Xeon-2.5-GHz,470,479
Thu,15:41:55,US-East-2,EU-West-2,Amazon-Web-Services,Intel-Xeon-2.5-GHz,631,666
Thu,15:47:18,US-East-2,EU-West-2,Amazon-Web-Services,Intel-Xeon-2.5-GHz,600,666
Thu,15:52:40,US-East-2,EU-West-2,Amazon-Web-Services,Intel-Xeon-2.5-GHz,666,705
Thu,15:57:56,US-East-2,EU-West-2,Amazon-Web-Services,Intel-Xeon-2.5-GHz,666,705
Thu,16:03:19,US-East-2,EU-West-2,Amazon-Web-Services,Intel-Xeon-2.5-GHz,666,705
Thu,16:08:34,US-East-2,EU-West-2,Amazon-Web-Services,Intel-Xeon-2.5-GHz,705,705
Thu,16:13:52,US-East-2,EU-West-2,Amazon-Web-Services,Intel-Xeon-2.5-GHz,666,705
Thu,16:19:11,US-East-2,EU-West-2,Amazon-Web-Services,Intel-Xeon-2.5-GHz,666,705
Thu,16:24:27,US-East-2,EU-West-2,Amazon-Web-Services,Intel-Xeon-2.5-GHz,666,705
Thu,16:29:42,US-East-2,EU-West-2,Amazon-Web-Services,Intel-Xeon-2.5-GHz,666,705
Thu,16:35:00,US-East-2,EU-West-2,Amazon-Web-Services,Intel-Xeon-2.5-GHz,631,666
Thu,16:40:15,US-East-2,EU-West-2,Amazon-Web-Services,Intel-Xeon-2.5-GHz,666,705
Thu,16:45:31,US-East-2,EU-West-2,Amazon-Web-Services,Intel-Xeon-2.5-GHz,705,705
Thu,16:50:56,US-East-2,EU-West-2,Amazon-Web-Services,Intel-Xeon-2.5-GHz,666,705
Thu,16:56:15,US-East-2,EU-West-2,Amazon-Web-Services,Intel-Xeon-2.5-GHz,666,705
Thu,17:01:30,US-East-2,EU-West-2,Amazon-Web-Services,Intel-Xeon-2.5-GHz,666,705
Thu,17:06:53,US-East-2,EU-West-2,Amazon-Web-Services,Intel-Xeon-2.5-GHz,0,0
Thu,17:12:18,US-East-2,EU-West-2,Amazon-Web-Services,Intel-Xeon-2.5-GHz,666,705
Thu,17:17:36,US-East-2,EU-West-2,Amazon-Web-Services,Intel-Xeon-2.5-GHz,705,705
Thu,17:23:01,US-East-2,EU-West-2,Amazon-Web-Services,Intel-Xeon-2.5-GHz,666,705
Thu,17:28:21,US-East-2,EU-West-2,Amazon-Web-Services,Intel-Xeon-2.5-GHz,666,705
Thu,17:33:53,US-East-2,EU-West-2,Amazon-Web-Services,Intel-Xeon-2.5-GHz,461,474
Thu,17:39:19,US-East-2,EU-West-2,Amazon-Web-Services,Intel-Xeon-2.5-GHz,705,705
Thu,17:44:39,US-East-2,EU-West-2,Amazon-Web-Services,Intel-Xeon-2.5-GHz,666,705
Thu,17:49:54,US-East-2,EU-West-2,Amazon-Web-Services,Intel-Xeon-2.5-GHz,428,857
Thu,17:55:02,US-East-2,EU-West-2,Amazon-Web-Services,Intel-Xeon-2.5-GHz,666,666
Thu,18:00:23,US-East-2,EU-West-2,Amazon-Web-Services,Intel-Xeon-2.5-GHz,666,705
Thu,18:05:38,US-East-2,EU-West-2,Amazon-Web-Services,Intel-Xeon-2.5-GHz,666,666
Thu,18:10:56,US-East-2,EU-West-2,Amazon-Web-Services,Intel-Xeon-2.5-GHz,666,666
Thu,18:16:16,US-East-2,EU-West-2,Amazon-Web-Services,Intel-Xeon-2.5-GHz,705,705
Thu,18:21:42,US-East-2,EU-West-2,Amazon-Web-Services,Intel-Xeon-2.5-GHz,666,666
Thu,18:27:01,US-East-2,EU-West-2,Amazon-Web-Services,Intel-Xeon-2.5-GHz,705,705
Thu,18:32:20,US-East-2,EU-West-2,Amazon-Web-Services,Intel-Xeon-2.5-GHz,666,705
Thu,18:37:38,US-East-2,EU-West-2,Amazon-Web-Services,Intel-Xeon-2.5-GHz,705,705
Thu,18:42:56,US-East-2,EU-West-2,Amazon-Web-Services,Intel-Xeon-2.5-GHz,666,705
Thu,18:48:18,US-East-2,EU-West-2,Amazon-Web-Services,Intel-Xeon-2.5-GHz,666,705
Thu,18:53:33,US-East-2,EU-West-2,Amazon-Web-Services,Intel-Xeon-2.5-GHz,666,705
Thu,18:58:48,US-East-2,EU-West-2,Amazon-Web-Services,Intel-Xeon-2.5-GHz,666,705
Thu,19:04:06,US-East-2,EU-West-2,Amazon-Web-Services,Intel-Xeon-2.5-GHz,666,666
Thu,19:09:26,US-East-2,EU-West-2,Amazon-Web-Services,Intel-Xeon-2.5-GHz,600,631
Thu,19:14:44,US-East-2,EU-West-2,Amazon-Web-Services,Intel-Xeon-2.5-GHz,705,750
Thu,19:47:09,US-East-2,EU-West-2,Amazon-Web-Services,Intel-Xeon-2.5-GHz,705,705
Thu,19:52:29,US-East-2,EU-West-2,Amazon-Web-Services,Intel-Xeon-2.5-GHz,666,705
Thu,19:58:01,US-East-2,EU-West-2,Amazon-Web-Services,Intel-Xeon-2.5-GHz,666,705
Thu,20:03:21,US-East-2,EU-West-2,Amazon-Web-Services,Intel-Xeon-2.5-GHz,705,705
Thu,20:08:43,US-East-2,EU-West-2,Amazon-Web-Services,Intel-Xeon-2.5-GHz,666,705
Thu,20:13:58,US-East-2,EU-West-2,Amazon-Web-Services,Intel-Xeon-2.5-GHz,705,705
Thu,20:19:19,US-East-2,EU-West-2,Amazon-Web-Services,Intel-Xeon-2.5-GHz,666,705
Thu,20:24:34,US-East-2,EU-West-2,Amazon-Web-Services,Intel-Xeon-2.5-GHz,666,705
Thu,20:29:49,US-East-2,EU-West-2,Amazon-Web-Services,Intel-Xeon-2.5-GHz,705,705
Thu,20:35:08,US-East-2,EU-West-2,Amazon-Web-Services,Intel-Xeon-2.5-GHz,666,705
Thu,20:40:28,US-East-2,EU-West-2,Amazon-Web-Services,Intel-Xeon-2.5-GHz,666,705
Thu,20:45:43,US-East-2,EU-West-2,Amazon-Web-Services,Intel-Xeon-2.5-GHz,666,666
Thu,20:51:01,US-East-2,EU-West-2,Amazon-Web-Services,Intel-Xeon-2.5-GHz,666,705
Thu,20:56:36,US-East-2,EU-West-2,Amazon-Web-Services,Intel-Xeon-2.5-GHz,666,705
Thu,21:01:54,US-East-2,EU-West-2,Amazon-Web-Services,Intel-Xeon-2.5-GHz,452,452
Thu,21:07:20,US-East-2,EU-West-2,Amazon-Web-Services,Intel-Xeon-2.5-GHz,666,705
Thu,21:12:35,US-East-2,EU-West-2,Amazon-Web-Services,Intel-Xeon-2.5-GHz,666,705
Thu,21:17:53,US-East-2,EU-West-2,Amazon-Web-Services,Intel-Xeon-2.5-GHz,666,705
Thu,21:23:17,US-East-2,EU-West-2,Amazon-Web-Services,Intel-Xeon-2.5-GHz,666,666
Thu,21:28:34,US-East-2,EU-West-2,Amazon-Web-Services,Intel-Xeon-2.5-GHz,666,705
Thu,21:33:49,US-East-2,EU-West-2,Amazon-Web-Services,Intel-Xeon-2.5-GHz,341,750
Thu,21:39:24,US-East-2,EU-West-2,Amazon-Web-Services,Intel-Xeon-2.5-GHz,705,705
Thu,21:44:45,US-East-2,EU-West-2,Amazon-Web-Services,Intel-Xeon-2.5-GHz,705,705
Thu,21:50:06,US-East-2,EU-West-2,Amazon-Web-Services,Intel-Xeon-2.5-GHz,705,705
Thu,21:55:24,US-East-2,EU-West-2,Amazon-Web-Services,Intel-Xeon-2.5-GHz,705,705
Thu,22:00:42,US-East-2,EU-West-2,Amazon-Web-Services,Intel-Xeon-2.5-GHz,666,750
Thu,22:06:21,US-East-2,EU-West-2,Amazon-Web-Services,Intel-Xeon-2.5-GHz,666,705
Thu,22:11:56,US-East-2,EU-West-2,Amazon-Web-Services,Intel-Xeon-2.5-GHz,666,705
Thu,22:17:28,US-East-2,EU-West-2,Amazon-Web-Services,Intel-Xeon-2.5-GHz,705,705
Thu,22:22:45,US-East-2,EU-West-2,Amazon-Web-Services,Intel-Xeon-2.5-GHz,666,705
Thu,22:28:08,US-East-2,EU-West-2,Amazon-Web-Services,Intel-Xeon-2.5-GHz,666,705
Thu,22:33:23,US-East-2,EU-West-2,Amazon-Web-Services,Intel-Xeon-2.5-GHz,666,705
Thu,22:38:43,US-East-2,EU-West-2,Amazon-Web-Services,Intel-Xeon-2.5-GHz,666,705
Thu,22:44:02,US-East-2,EU-West-2,Amazon-Web-Services,Intel-Xeon-2.5-GHz,666,666
Thu,22:49:20,US-East-2,EU-West-2,Amazon-Web-Services,Intel-Xeon-2.5-GHz,666,705
Thu,22:54:35,US-East-2,EU-West-2,Amazon-Web-Services,Intel-Xeon-2.5-GHz,666,666
Thu,22:59:54,US-East-2,EU-West-2,Amazon-Web-Services,Intel-Xeon-2.5-GHz,0,0
