Day, Time, Sender Region, Receiver Region, Hop IP, Duration, Hop Count
Sun,13:03:49,EU-West-2,US-East-1,52.56,15,1
Sun,13:03:49,EU-West-2,US-East-1,100.66,14,2
Sun,13:03:49,EU-West-2,US-East-1,100.66,21,3
Sun,13:03:49,EU-West-2,US-East-1,100.65,0,4
Sun,13:03:49,EU-West-2,US-East-1,52.94,86,5
Sun,13:03:49,EU-West-2,US-East-1,52.94,101,6
Sun,13:03:49,EU-West-2,US-East-1,54.239,86,7
Sun,13:03:49,EU-West-2,US-East-1,54.239,87,8
Sun,13:03:49,EU-West-2,US-East-1,52.95,86,9
Sun,13:03:49,EU-West-2,US-East-1,52.95,86,10
Sun,13:03:49,EU-West-2,US-East-1,100.64,104,11
Sun,13:03:49,EU-West-2,US-East-1,100.64,97,12
Sun,13:03:49,EU-West-2,US-East-1,100.64,106,13
Sun,13:03:49,EU-West-2,US-East-1,52.14,86,14
Sun,13:09:10,EU-West-2,US-East-1,52.56,19,1
Sun,13:09:10,EU-West-2,US-East-1,100.66,12,2
Sun,13:09:10,EU-West-2,US-East-1,100.66,17,3
Sun,13:09:10,EU-West-2,US-East-1,100.65,0,4
Sun,13:09:10,EU-West-2,US-East-1,52.94,86,5
Sun,13:09:10,EU-West-2,US-East-1,52.94,104,6
Sun,13:09:10,EU-West-2,US-East-1,54.239,85,7
Sun,13:09:10,EU-West-2,US-East-1,54.239,87,8
Sun,13:09:10,EU-West-2,US-East-1,52.95,86,9
Sun,13:09:10,EU-West-2,US-East-1,52.95,86,10
Sun,13:09:10,EU-West-2,US-East-1,100.64,109,11
Sun,13:09:10,EU-West-2,US-East-1,100.64,104,12
Sun,13:09:10,EU-West-2,US-East-1,100.64,101,13
Sun,13:09:10,EU-West-2,US-East-1,52.14,86,14
Sun,13:14:29,EU-West-2,US-East-1,52.56,20,1
Sun,13:14:29,EU-West-2,US-East-1,100.66,24,2
Sun,13:14:29,EU-West-2,US-East-1,100.66,35,3
Sun,13:14:29,EU-West-2,US-East-1,100.65,0,4
Sun,13:14:29,EU-West-2,US-East-1,52.94,86,5
Sun,13:14:29,EU-West-2,US-East-1,52.94,97,6
Sun,13:14:29,EU-West-2,US-East-1,54.239,90,7
Sun,13:14:29,EU-West-2,US-East-1,54.239,120,8
Sun,13:14:29,EU-West-2,US-East-1,52.95,86,9
Sun,13:14:29,EU-West-2,US-East-1,52.95,86,10
Sun,13:14:29,EU-West-2,US-East-1,100.64,97,11
Sun,13:14:29,EU-West-2,US-East-1,100.64,98,12
Sun,13:14:29,EU-West-2,US-East-1,100.64,103,13
Sun,13:14:29,EU-West-2,US-East-1,52.14,85,14
Sun,13:20:01,EU-West-2,US-East-1,52.56,18,1
Sun,13:20:01,EU-West-2,US-East-1,100.66,11,2
Sun,13:20:01,EU-West-2,US-East-1,100.66,13,3
Sun,13:20:01,EU-West-2,US-East-1,100.65,6,4
Sun,13:20:01,EU-West-2,US-East-1,52.94,86,5
Sun,13:20:01,EU-West-2,US-East-1,52.94,100,6
Sun,13:20:01,EU-West-2,US-East-1,54.239,86,7
Sun,13:20:01,EU-West-2,US-East-1,54.239,87,8
Sun,13:20:01,EU-West-2,US-East-1,52.95,86,9
Sun,13:20:01,EU-West-2,US-East-1,52.95,86,10
Sun,13:20:01,EU-West-2,US-East-1,100.64,98,11
Sun,13:20:01,EU-West-2,US-East-1,100.64,144,12
Sun,13:20:01,EU-West-2,US-East-1,100.64,104,13
Sun,13:20:01,EU-West-2,US-East-1,52.14,86,14
Sun,13:25:16,EU-West-2,US-East-1,52.56,18,1
Sun,13:25:16,EU-West-2,US-East-1,100.66,18,2
Sun,13:25:16,EU-West-2,US-East-1,100.66,14,3
Sun,13:25:16,EU-West-2,US-East-1,100.65,0,4
Sun,13:25:16,EU-West-2,US-East-1,52.94,89,5
Sun,13:25:16,EU-West-2,US-East-1,52.94,96,6
Sun,13:25:16,EU-West-2,US-East-1,54.239,86,7
Sun,13:25:16,EU-West-2,US-East-1,54.239,87,8
Sun,13:25:16,EU-West-2,US-East-1,52.95,86,9
Sun,13:25:16,EU-West-2,US-East-1,52.95,86,10
Sun,13:25:16,EU-West-2,US-East-1,100.64,104,11
Sun,13:25:16,EU-West-2,US-East-1,100.64,101,12
Sun,13:25:16,EU-West-2,US-East-1,100.64,97,13
Sun,13:25:16,EU-West-2,US-East-1,52.14,85,14
Sun,13:30:36,EU-West-2,US-East-1,52.56,31,1
Sun,13:30:36,EU-West-2,US-East-1,100.66,22,2
Sun,13:30:36,EU-West-2,US-East-1,100.66,21,3
Sun,13:30:36,EU-West-2,US-East-1,100.65,0,4
Sun,13:30:36,EU-West-2,US-East-1,52.94,86,5
Sun,13:30:36,EU-West-2,US-East-1,52.94,100,6
Sun,13:30:36,EU-West-2,US-East-1,54.239,85,7
Sun,13:30:36,EU-West-2,US-East-1,54.239,87,8
Sun,13:30:36,EU-West-2,US-East-1,52.95,86,9
Sun,13:30:36,EU-West-2,US-East-1,52.95,86,10
Sun,13:30:36,EU-West-2,US-East-1,100.64,98,11
Sun,13:30:36,EU-West-2,US-East-1,100.64,105,12
Sun,13:30:36,EU-West-2,US-East-1,100.64,97,13
Sun,13:30:36,EU-West-2,US-East-1,52.14,85,14
Sun,13:36:14,EU-West-2,US-East-1,52.56,15,1
Sun,13:36:14,EU-West-2,US-East-1,100.66,21,2
Sun,13:36:14,EU-West-2,US-East-1,100.66,21,3
Sun,13:36:14,EU-West-2,US-East-1,100.65,0,4
Sun,13:36:14,EU-West-2,US-East-1,52.94,86,5
Sun,13:36:14,EU-West-2,US-East-1,52.94,95,6
Sun,13:36:14,EU-West-2,US-East-1,54.239,86,7
Sun,13:36:14,EU-West-2,US-East-1,54.239,87,8
Sun,13:36:14,EU-West-2,US-East-1,52.95,86,9
Sun,13:36:14,EU-West-2,US-East-1,52.95,86,10
Sun,13:36:14,EU-West-2,US-East-1,100.64,103,11
Sun,13:36:14,EU-West-2,US-East-1,100.64,98,12
Sun,13:36:14,EU-West-2,US-East-1,100.64,1008,13
Sun,13:36:14,EU-West-2,US-East-1,52.14,86,14
Sun,13:41:52,EU-West-2,US-East-1,52.56,20,1
Sun,13:41:52,EU-West-2,US-East-1,100.66,17,2
Sun,13:41:52,EU-West-2,US-East-1,100.66,13,3
Sun,13:41:52,EU-West-2,US-East-1,100.65,0,4
Sun,13:41:52,EU-West-2,US-East-1,52.94,86,5
Sun,13:41:52,EU-West-2,US-East-1,52.94,109,6
Sun,13:41:52,EU-West-2,US-East-1,54.239,85,7
Sun,13:41:52,EU-West-2,US-East-1,54.239,87,8
Sun,13:41:52,EU-West-2,US-East-1,52.95,86,9
Sun,13:41:52,EU-West-2,US-East-1,52.95,86,10
Sun,13:41:52,EU-West-2,US-East-1,100.64,108,11
Sun,13:41:52,EU-West-2,US-East-1,100.64,108,12
Sun,13:41:52,EU-West-2,US-East-1,100.64,103,13
Sun,13:41:52,EU-West-2,US-East-1,52.14,86,14
Sun,13:47:39,EU-West-2,US-East-1,52.56,15,1
Sun,13:47:39,EU-West-2,US-East-1,100.66,15,2
Sun,13:47:39,EU-West-2,US-East-1,100.66,19,3
