Day, Time, Sender Region, Receiver Region, Hop IP, Duration, Hop Count
Thu,15:09:51,EU-West-2,US-East-1,52.56,31,1
Thu,15:09:51,EU-West-2,US-East-1,100.66,24,2
Thu,15:09:51,EU-West-2,US-East-1,100.66,15,3
Thu,15:09:51,EU-West-2,US-East-1,100.65,0,4
Thu,15:09:51,EU-West-2,US-East-1,52.94,86,5
Thu,15:09:51,EU-West-2,US-East-1,52.94,97,6
Thu,15:09:51,EU-West-2,US-East-1,54.239,85,7
Thu,15:09:51,EU-West-2,US-East-1,54.239,87,8
Thu,15:09:51,EU-West-2,US-East-1,52.95,87,9
Thu,15:09:51,EU-West-2,US-East-1,52.95,86,10
Thu,15:09:51,EU-West-2,US-East-1,100.64,97,11
Thu,15:09:51,EU-West-2,US-East-1,100.64,97,12
Thu,15:09:51,EU-West-2,US-East-1,100.64,107,13
Thu,15:09:51,EU-West-2,US-East-1,18.220,86,14
Thu,15:15:08,EU-West-2,US-East-1,52.56,13,1
Thu,15:15:08,EU-West-2,US-East-1,100.66,15,2
Thu,15:15:08,EU-West-2,US-East-1,100.66,15,3
Thu,15:15:08,EU-West-2,US-East-1,100.65,6,4
Thu,15:15:08,EU-West-2,US-East-1,52.94,86,5
Thu,15:15:08,EU-West-2,US-East-1,52.94,101,6
Thu,15:15:08,EU-West-2,US-East-1,54.239,85,7
Thu,15:15:08,EU-West-2,US-East-1,52.95,86,9
Thu,15:15:08,EU-West-2,US-East-1,52.95,86,10
Thu,15:15:08,EU-West-2,US-East-1,100.64,98,11
Thu,15:15:08,EU-West-2,US-East-1,100.64,105,12
Thu,15:15:08,EU-West-2,US-East-1,100.64,96,13
Thu,15:15:08,EU-West-2,US-East-1,18.220,86,14
Thu,15:20:28,EU-West-2,US-East-1,52.56,27,1
Thu,15:20:28,EU-West-2,US-East-1,100.66,18,2
Thu,15:20:28,EU-West-2,US-East-1,100.66,15,3
Thu,15:20:28,EU-West-2,US-East-1,100.65,0,4
Thu,15:20:28,EU-West-2,US-East-1,52.94,86,5
Thu,15:20:28,EU-West-2,US-East-1,52.94,104,6
Thu,15:20:28,EU-West-2,US-East-1,54.239,85,7
Thu,15:20:28,EU-West-2,US-East-1,54.239,87,8
Thu,15:20:28,EU-West-2,US-East-1,52.95,86,9
Thu,15:20:28,EU-West-2,US-East-1,52.95,86,10
Thu,15:20:28,EU-West-2,US-East-1,100.64,100,11
Thu,15:20:28,EU-West-2,US-East-1,100.64,100,12
Thu,15:20:28,EU-West-2,US-East-1,100.64,102,13
Thu,15:20:28,EU-West-2,US-East-1,18.220,85,14
Thu,15:25:53,EU-West-2,US-East-1,52.56,20,1
Thu,15:25:53,EU-West-2,US-East-1,100.66,13,2
Thu,15:25:53,EU-West-2,US-East-1,100.66,19,3
Thu,15:25:53,EU-West-2,US-East-1,100.65,0,4
Thu,15:25:53,EU-West-2,US-East-1,52.94,86,5
Thu,15:25:53,EU-West-2,US-East-1,52.94,97,6
Thu,15:25:53,EU-West-2,US-East-1,54.239,93,7
Thu,15:25:53,EU-West-2,US-East-1,54.239,87,8
Thu,15:25:53,EU-West-2,US-East-1,52.95,86,9
Thu,15:25:53,EU-West-2,US-East-1,52.95,86,10
Thu,15:25:53,EU-West-2,US-East-1,100.64,271,11
Thu,15:25:53,EU-West-2,US-East-1,100.64,102,12
Thu,15:25:53,EU-West-2,US-East-1,100.64,357,13
Thu,15:25:53,EU-West-2,US-East-1,18.220,86,14
Thu,15:31:13,EU-West-2,US-East-1,52.56,3,1
Thu,15:31:13,EU-West-2,US-East-1,100.66,15,2
Thu,15:31:13,EU-West-2,US-East-1,100.66,22,3
