Day, Time, Sender Region, Receiver Region, Hop IP, Duration, Hop Count
Wed,15:28:11,EU-West-2,US-East-1,52.56,14,1
Wed,15:28:11,EU-West-2,US-East-1,100.66,15,2
Wed,15:28:11,EU-West-2,US-East-1,100.66,19,3
Wed,15:28:11,EU-West-2,US-East-1,100.65,0,4
Wed,15:28:11,EU-West-2,US-East-1,52.94,86,5
Wed,15:28:11,EU-West-2,US-East-1,52.94,153,6
Wed,15:28:11,EU-West-2,US-East-1,54.239,85,7
Wed,15:28:11,EU-West-2,US-East-1,54.239,87,8
Wed,15:28:11,EU-West-2,US-East-1,52.95,86,9
Wed,15:28:11,EU-West-2,US-East-1,52.95,86,10
Wed,15:28:11,EU-West-2,US-East-1,100.64,97,11
Wed,15:28:11,EU-West-2,US-East-1,100.64,106,12
Wed,15:28:11,EU-West-2,US-East-1,100.64,100,13
Wed,15:28:11,EU-West-2,US-East-1,13.58,86,14
Wed,15:33:32,EU-West-2,US-East-1,52.56,11,1
Wed,15:33:32,EU-West-2,US-East-1,100.66,18,2
Wed,15:33:32,EU-West-2,US-East-1,100.66,18,3
Wed,15:33:32,EU-West-2,US-East-1,100.65,0,4
Wed,15:33:32,EU-West-2,US-East-1,52.94,87,5
Wed,15:33:32,EU-West-2,US-East-1,52.94,103,6
Wed,15:33:32,EU-West-2,US-East-1,54.239,85,7
Wed,15:33:32,EU-West-2,US-East-1,54.239,87,8
Wed,15:33:32,EU-West-2,US-East-1,52.95,87,9
Wed,15:33:32,EU-West-2,US-East-1,52.95,86,10
Wed,15:33:32,EU-West-2,US-East-1,100.64,99,11
Wed,15:33:32,EU-West-2,US-East-1,100.64,98,12
Wed,15:33:32,EU-West-2,US-East-1,100.64,102,13
Wed,15:33:32,EU-West-2,US-East-1,13.58,86,14
Wed,15:38:44,EU-West-2,US-East-1,52.56,14,1
Wed,15:38:44,EU-West-2,US-East-1,100.66,18,2
Wed,15:38:44,EU-West-2,US-East-1,100.66,21,3
Wed,15:38:44,EU-West-2,US-East-1,100.65,1,4
Wed,15:38:44,EU-West-2,US-East-1,52.94,86,5
Wed,15:38:44,EU-West-2,US-East-1,52.94,94,6
Wed,15:38:44,EU-West-2,US-East-1,54.239,86,7
Wed,15:38:44,EU-West-2,US-East-1,54.239,87,8
Wed,15:38:44,EU-West-2,US-East-1,52.95,86,9
Wed,15:38:44,EU-West-2,US-East-1,52.95,86,10
Wed,15:38:44,EU-West-2,US-East-1,100.64,101,11
Wed,15:38:44,EU-West-2,US-East-1,100.64,97,12
Wed,15:38:44,EU-West-2,US-East-1,100.64,631,13
Wed,15:38:44,EU-West-2,US-East-1,13.58,86,14
Wed,15:44:05,EU-West-2,US-East-1,52.56,17,1
Wed,15:44:05,EU-West-2,US-East-1,100.66,14,2
Wed,15:44:05,EU-West-2,US-East-1,100.66,16,3
Wed,15:44:05,EU-West-2,US-East-1,100.65,0,4
Wed,15:44:05,EU-West-2,US-East-1,52.94,86,5
Wed,15:44:05,EU-West-2,US-East-1,52.94,104,6
Wed,15:44:05,EU-West-2,US-East-1,54.239,85,7
Wed,15:44:05,EU-West-2,US-East-1,54.239,87,8
Wed,15:44:05,EU-West-2,US-East-1,52.95,86,9
Wed,15:44:05,EU-West-2,US-East-1,52.95,86,10
Wed,15:44:05,EU-West-2,US-East-1,100.64,315,11
Wed,15:44:05,EU-West-2,US-East-1,100.64,107,12
Wed,15:44:05,EU-West-2,US-East-1,100.64,621,13
Wed,15:44:05,EU-West-2,US-East-1,13.58,86,14
Wed,15:49:31,EU-West-2,US-East-1,52.56,64,1
Wed,15:49:31,EU-West-2,US-East-1,100.66,48,2
Wed,15:49:31,EU-West-2,US-East-1,100.66,19,3
Wed,15:49:31,EU-West-2,US-East-1,100.65,0,4
Wed,15:49:31,EU-West-2,US-East-1,52.94,86,5
Wed,15:49:31,EU-West-2,US-East-1,52.94,98,6
Wed,15:49:31,EU-West-2,US-East-1,54.239,85,7
Wed,15:49:31,EU-West-2,US-East-1,54.239,88,8
Wed,15:49:31,EU-West-2,US-East-1,52.95,86,9
Wed,15:49:31,EU-West-2,US-East-1,52.95,86,10
Wed,15:49:31,EU-West-2,US-East-1,100.64,100,11
Wed,15:49:31,EU-West-2,US-East-1,100.64,104,12
Wed,15:49:31,EU-West-2,US-East-1,100.64,104,13
Wed,15:49:31,EU-West-2,US-East-1,13.58,86,14
Wed,15:54:45,EU-West-2,US-East-1,52.56,16,1
Wed,15:54:45,EU-West-2,US-East-1,100.66,20,2
Wed,15:54:45,EU-West-2,US-East-1,100.66,21,3
Wed,15:54:45,EU-West-2,US-East-1,100.65,0,4
Wed,15:54:45,EU-West-2,US-East-1,52.94,86,5
Wed,15:54:45,EU-West-2,US-East-1,52.94,107,6
Wed,15:54:45,EU-West-2,US-East-1,54.239,85,7
Wed,15:54:45,EU-West-2,US-East-1,54.239,88,8
Wed,15:54:45,EU-West-2,US-East-1,52.95,86,9
Wed,15:54:45,EU-West-2,US-East-1,52.95,86,10
Wed,15:54:45,EU-West-2,US-East-1,100.64,124,11
Wed,15:54:45,EU-West-2,US-East-1,100.64,107,12
Wed,15:54:45,EU-West-2,US-East-1,100.64,100,13
Wed,15:54:45,EU-West-2,US-East-1,13.58,86,14
Wed,15:59:53,EU-West-2,US-East-1,52.56,18,1
Wed,15:59:53,EU-West-2,US-East-1,100.66,21,2
Wed,15:59:53,EU-West-2,US-East-1,100.66,14,3
Wed,15:59:53,EU-West-2,US-East-1,100.65,0,4
Wed,15:59:53,EU-West-2,US-East-1,52.94,86,5
Wed,15:59:53,EU-West-2,US-East-1,52.94,96,6
Wed,15:59:53,EU-West-2,US-East-1,54.239,85,7
Wed,15:59:53,EU-West-2,US-East-1,54.239,87,8
Wed,15:59:53,EU-West-2,US-East-1,52.95,86,9
Wed,15:59:53,EU-West-2,US-East-1,52.95,86,10
Wed,15:59:53,EU-West-2,US-East-1,100.64,107,11
Wed,15:59:53,EU-West-2,US-East-1,100.64,102,12
Wed,15:59:53,EU-West-2,US-East-1,100.64,101,13
Wed,15:59:53,EU-West-2,US-East-1,13.58,86,14
Wed,16:05:13,EU-West-2,US-East-1,52.56,20,1
Wed,16:05:13,EU-West-2,US-East-1,100.66,21,2
Wed,16:05:13,EU-West-2,US-East-1,100.66,23,3
Wed,16:05:13,EU-West-2,US-East-1,100.65,0,4
Wed,16:05:13,EU-West-2,US-East-1,52.94,86,5
Wed,16:05:13,EU-West-2,US-East-1,52.94,106,6
Wed,16:05:13,EU-West-2,US-East-1,54.239,85,7
Wed,16:05:13,EU-West-2,US-East-1,54.239,87,8
Wed,16:05:13,EU-West-2,US-East-1,52.95,86,9
Wed,16:05:13,EU-West-2,US-East-1,52.95,86,10
Wed,16:05:13,EU-West-2,US-East-1,100.64,104,11
Wed,16:05:13,EU-West-2,US-East-1,100.64,104,12
Wed,16:05:13,EU-West-2,US-East-1,100.64,103,13
Wed,16:05:13,EU-West-2,US-East-1,13.58,86,14
Wed,16:10:29,EU-West-2,US-East-1,52.56,16,1
Wed,16:10:29,EU-West-2,US-East-1,100.66,19,2
Wed,16:10:29,EU-West-2,US-East-1,100.66,19,3
Wed,16:10:29,EU-West-2,US-East-1,100.65,0,4
Wed,16:10:29,EU-West-2,US-East-1,52.94,86,5
Wed,16:10:29,EU-West-2,US-East-1,52.94,99,6
Wed,16:10:29,EU-West-2,US-East-1,54.239,86,7
Wed,16:10:29,EU-West-2,US-East-1,176.32,86,8
