Day, Time, Sender Region, Receiver Region, Hop IP, Duration, Hop Count
Mon,20:27:58,EU-West-2,US-East-1,52.56.0.70,13,1
Mon,20:27:58,EU-West-2,US-East-1,100.66.0.202,15,2
Mon,20:27:58,EU-West-2,US-East-1,100.66.0.103,34,3
Mon,20:27:58,EU-West-2,US-East-1,100.65.0.161,0,4
Mon,20:27:58,EU-West-2,US-East-1,52.94.33.51,86,5
Mon,20:27:58,EU-West-2,US-East-1,52.94.33.144,108,6
Mon,20:27:58,EU-West-2,US-East-1,54.239.101.23,85,7
Mon,20:27:58,EU-West-2,US-East-1,54.239.42.114,87,8
Mon,20:27:58,EU-West-2,US-East-1,52.95.1.253,86,9
Mon,20:27:58,EU-West-2,US-East-1,52.95.1.22,86,10
Mon,20:27:58,EU-West-2,US-East-1,100.64.16.130,103,11
Mon,20:27:58,EU-West-2,US-East-1,100.64.3.2,104,12
Mon,20:27:58,EU-West-2,US-East-1,100.64.3.143,97,13
Mon,20:27:58,EU-West-2,US-East-1,13.59.133.125,86,14
Mon,20:35:56,EU-West-2,US-East-1,52.56.0.68,11,1
Mon,20:35:56,EU-West-2,US-East-1,100.66.0.186,21,2
Mon,20:35:56,EU-West-2,US-East-1,100.66.0.63,19,3
Mon,20:35:56,EU-West-2,US-East-1,100.65.0.129,0,4
Mon,20:35:56,EU-West-2,US-East-1,52.94.33.43,86,5
Mon,20:35:56,EU-West-2,US-East-1,52.94.33.134,105,6
Mon,20:35:56,EU-West-2,US-East-1,54.239.101.101,86,7
Mon,20:35:56,EU-West-2,US-East-1,54.239.41.199,88,8
Mon,20:35:56,EU-West-2,US-East-1,52.95.1.141,87,9
Mon,20:35:56,EU-West-2,US-East-1,52.95.1.22,85,10
Mon,20:35:56,EU-West-2,US-East-1,100.64.16.46,106,11
Mon,20:35:56,EU-West-2,US-East-1,100.64.1.70,94,12
Mon,20:35:56,EU-West-2,US-East-1,100.64.3.207,97,13
Mon,20:35:56,EU-West-2,US-East-1,13.59.133.125,86,14
Mon,20:41:09,EU-West-2,US-East-1,52.56.0.70,17,1
Mon,20:41:09,EU-West-2,US-East-1,100.66.0.232,11,2
Mon,20:41:09,EU-West-2,US-East-1,100.66.0.101,12,3
Mon,20:41:09,EU-West-2,US-East-1,100.65.1.1,0,4
Mon,20:41:09,EU-West-2,US-East-1,52.94.33.39,86,5
Mon,20:41:09,EU-West-2,US-East-1,52.94.33.132,176,6
Mon,20:41:09,EU-West-2,US-East-1,54.239.101.123,86,7
Mon,20:41:09,EU-West-2,US-East-1,54.239.42.114,87,8
Mon,20:41:09,EU-West-2,US-East-1,54.239.42.114,87,9
Mon,20:41:09,EU-West-2,US-East-1,52.95.3.138,86,10
Mon,20:41:09,EU-West-2,US-East-1,100.64.17.44,138,11
Mon,20:41:09,EU-West-2,US-East-1,100.64.1.66,107,12
Mon,20:41:09,EU-West-2,US-East-1,100.64.3.75,102,13
Mon,20:41:09,EU-West-2,US-East-1,13.59.133.125,86,14
Mon,20:41:57,EU-West-2,US-East-1,52.56.0.64,22,1
Mon,20:41:57,EU-West-2,US-East-1,100.66.0.130,14,2
Mon,20:41:57,EU-West-2,US-East-1,100.66.0.41,18,3
Mon,20:41:57,EU-West-2,US-East-1,100.65.0.193,0,4
Mon,20:41:57,EU-West-2,US-East-1,52.94.33.43,86,5
Mon,20:41:57,EU-West-2,US-East-1,52.94.33.130,89,6
Mon,20:41:57,EU-West-2,US-East-1,54.239.101.61,85,7
Mon,20:41:57,EU-West-2,US-East-1,54.239.41.199,87,8
Mon,20:41:57,EU-West-2,US-East-1,52.95.2.25,86,9
Mon,20:41:57,EU-West-2,US-East-1,52.95.1.18,86,10
Mon,20:41:57,EU-West-2,US-East-1,100.64.17.46,97,11
Mon,20:41:57,EU-West-2,US-East-1,100.64.1.4,97,12
Mon,20:41:57,EU-West-2,US-East-1,100.64.2.201,101,13
Mon,20:41:57,EU-West-2,US-East-1,13.59.133.125,86,14
Mon,20:47:00,EU-West-2,US-East-1,52.56.0.66,15,1
Mon,20:47:00,EU-West-2,US-East-1,100.66.0.254,20,2
Mon,20:47:00,EU-West-2,US-East-1,100.66.0.97,14,3
Mon,20:47:00,EU-West-2,US-East-1,100.65.1.161,0,4
Mon,20:47:00,EU-West-2,US-East-1,52.94.33.51,86,5
Mon,20:47:00,EU-West-2,US-East-1,52.94.33.140,99,6
Mon,20:47:00,EU-West-2,US-East-1,54.239.101.81,86,7
Mon,20:47:00,EU-West-2,US-East-1,54.239.42.114,87,8
Mon,20:47:00,EU-West-2,US-East-1,52.95.2.25,86,9
Mon,20:47:00,EU-West-2,US-East-1,52.95.3.138,86,10
Mon,20:47:00,EU-West-2,US-East-1,100.64.17.40,101,11
Mon,20:47:00,EU-West-2,US-East-1,100.64.3.130,104,12
Mon,20:47:00,EU-West-2,US-East-1,100.64.2.13,269,13
Mon,20:47:00,EU-West-2,US-East-1,13.59.133.125,86,14
Mon,20:52:23,EU-West-2,US-East-1,52.56.0.66,14,1
Mon,20:52:23,EU-West-2,US-East-1,100.66.0.246,12,2
Mon,20:52:23,EU-West-2,US-East-1,100.66.0.117,14,3
Mon,20:52:23,EU-West-2,US-East-1,100.65.1.65,0,4
Mon,20:52:23,EU-West-2,US-East-1,52.94.33.43,86,5
Mon,20:52:23,EU-West-2,US-East-1,52.94.33.130,91,6
Mon,20:52:23,EU-West-2,US-East-1,54.239.101.161,86,7
Mon,20:52:23,EU-West-2,US-East-1,52.95.1.85,86,9
Mon,20:52:23,EU-West-2,US-East-1,52.95.1.22,86,10
Mon,20:52:23,EU-West-2,US-East-1,100.64.17.134,104,11
Mon,20:52:23,EU-West-2,US-East-1,100.64.1.64,101,12
Mon,20:52:23,EU-West-2,US-East-1,100.64.2.75,316,13
Mon,20:52:23,EU-West-2,US-East-1,13.59.133.125,86,14
Mon,20:57:30,EU-West-2,US-East-1,52.56.0.64,16,1
Mon,20:57:30,EU-West-2,US-East-1,100.66.0.182,21,2
Mon,20:57:30,EU-West-2,US-East-1,100.66.0.51,10,3
Mon,20:57:30,EU-West-2,US-East-1,100.65.1.97,0,4
Mon,20:57:30,EU-West-2,US-East-1,52.94.33.51,86,5
Mon,20:57:30,EU-West-2,US-East-1,52.94.33.134,88,6
Mon,20:57:30,EU-West-2,US-East-1,54.239.101.81,86,7
Mon,20:57:30,EU-West-2,US-East-1,54.239.42.114,87,8
Mon,20:57:30,EU-West-2,US-East-1,52.95.1.85,86,9
Mon,20:57:30,EU-West-2,US-East-1,52.95.1.18,86,10
Mon,20:57:30,EU-West-2,US-East-1,100.64.16.96,103,11
Mon,20:57:30,EU-West-2,US-East-1,100.64.2.68,94,12
Mon,20:57:30,EU-West-2,US-East-1,100.64.3.9,1425,13
Mon,20:57:30,EU-West-2,US-East-1,13.59.133.125,86,14
Mon,21:02:52,EU-West-2,US-East-1,52.56.0.64,8,1
Mon,21:02:52,EU-West-2,US-East-1,100.66.0.166,224,2
Mon,21:02:52,EU-West-2,US-East-1,100.66.0.81,14,3
Mon,21:02:52,EU-West-2,US-East-1,100.65.0.1,0,4
Mon,21:02:52,EU-West-2,US-East-1,52.94.33.43,86,5
Mon,21:02:52,EU-West-2,US-East-1,52.94.33.132,90,6
Mon,21:02:52,EU-West-2,US-East-1,54.239.101.41,85,7
Mon,21:02:52,EU-West-2,US-East-1,54.239.41.199,88,8
Mon,21:02:52,EU-West-2,US-East-1,52.95.1.225,86,9
Mon,21:02:52,EU-West-2,US-East-1,52.95.3.138,86,10
Mon,21:02:52,EU-West-2,US-East-1,100.64.17.66,102,11
Mon,21:02:52,EU-West-2,US-East-1,100.64.0.194,100,12
Mon,21:02:52,EU-West-2,US-East-1,100.64.0.137,998,13
Mon,21:02:52,EU-West-2,US-East-1,13.59.133.125,85,14
Mon,21:08:21,EU-West-2,US-East-1,52.56.0.64,13,1
Mon,21:08:21,EU-West-2,US-East-1,100.66.0.150,20,2
Mon,21:08:21,EU-West-2,US-East-1,100.66.0.105,17,3
Mon,21:08:21,EU-West-2,US-East-1,100.65.1.161,0,4
Mon,21:08:21,EU-West-2,US-East-1,52.94.33.39,87,5
Mon,21:08:21,EU-West-2,US-East-1,52.94.33.138,100,6
