Day, Time, Sender Region, Receiver Region, Provider, Processor, Low ABW, High ABW
Thu,15:09:39,US-West-1,AP-Southeast-1,Amazon-Web-Services,Intel-Xeon-2.5-GHz,218,221
Thu,15:15:17,US-West-1,AP-Southeast-1,Amazon-Web-Services,Intel-Xeon-2.5-GHz,249,249
Thu,15:20:56,US-West-1,AP-Southeast-1,Amazon-Web-Services,Intel-Xeon-2.5-GHz,208,220
Thu,15:26:40,US-West-1,AP-Southeast-1,Amazon-Web-Services,Intel-Xeon-2.5-GHz,193,220
Thu,15:32:25,US-West-1,AP-Southeast-1,Amazon-Web-Services,Intel-Xeon-2.5-GHz,217,248
Thu,15:38:23,US-West-1,AP-Southeast-1,Amazon-Web-Services,Intel-Xeon-2.5-GHz,228,228
Thu,15:44:13,US-West-1,AP-Southeast-1,Amazon-Web-Services,Intel-Xeon-2.5-GHz,235,235
Thu,15:49:46,US-West-1,AP-Southeast-1,Amazon-Web-Services,Intel-Xeon-2.5-GHz,210,226
Thu,15:55:29,US-West-1,AP-Southeast-1,Amazon-Web-Services,Intel-Xeon-2.5-GHz,171,255
Thu,16:01:27,US-West-1,AP-Southeast-1,Amazon-Web-Services,Intel-Xeon-2.5-GHz,235,238
Thu,16:07:16,US-West-1,AP-Southeast-1,Amazon-Web-Services,Intel-Xeon-2.5-GHz,206,206
Thu,16:13:00,US-West-1,AP-Southeast-1,Amazon-Web-Services,Intel-Xeon-2.5-GHz,239,239
Thu,16:18:43,US-West-1,AP-Southeast-1,Amazon-Web-Services,Intel-Xeon-2.5-GHz,202,234
Thu,16:24:28,US-West-1,AP-Southeast-1,Amazon-Web-Services,Intel-Xeon-2.5-GHz,222,226
Thu,16:30:06,US-West-1,AP-Southeast-1,Amazon-Web-Services,Intel-Xeon-2.5-GHz,217,240
Thu,16:35:50,US-West-1,AP-Southeast-1,Amazon-Web-Services,Intel-Xeon-2.5-GHz,222,226
Thu,16:41:29,US-West-1,AP-Southeast-1,Amazon-Web-Services,Intel-Xeon-2.5-GHz,240,244
Thu,16:47:07,US-West-1,AP-Southeast-1,Amazon-Web-Services,Intel-Xeon-2.5-GHz,198,222
Thu,16:52:50,US-West-1,AP-Southeast-1,Amazon-Web-Services,Intel-Xeon-2.5-GHz,200,230
Thu,16:58:50,US-West-1,AP-Southeast-1,Amazon-Web-Services,Intel-Xeon-2.5-GHz,214,217
Thu,17:04:33,US-West-1,AP-Southeast-1,Amazon-Web-Services,Intel-Xeon-2.5-GHz,192,192
Thu,17:10:37,US-West-1,AP-Southeast-1,Amazon-Web-Services,Intel-Xeon-2.5-GHz,221,225
Thu,17:16:21,US-West-1,AP-Southeast-1,Amazon-Web-Services,Intel-Xeon-2.5-GHz,226,240
Thu,17:22:05,US-West-1,AP-Southeast-1,Amazon-Web-Services,Intel-Xeon-2.5-GHz,248,252
Thu,17:27:43,US-West-1,AP-Southeast-1,Amazon-Web-Services,Intel-Xeon-2.5-GHz,190,255
Thu,17:33:43,US-West-1,AP-Southeast-1,Amazon-Web-Services,Intel-Xeon-2.5-GHz,222,222
Thu,17:39:22,US-West-1,AP-Southeast-1,Amazon-Web-Services,Intel-Xeon-2.5-GHz,209,240
Thu,17:45:20,US-West-1,AP-Southeast-1,Amazon-Web-Services,Intel-Xeon-2.5-GHz,242,249
Thu,17:51:04,US-West-1,AP-Southeast-1,Amazon-Web-Services,Intel-Xeon-2.5-GHz,249,249
Thu,17:56:37,US-West-1,AP-Southeast-1,Amazon-Web-Services,Intel-Xeon-2.5-GHz,230,235
Thu,18:02:41,US-West-1,AP-Southeast-1,Amazon-Web-Services,Intel-Xeon-2.5-GHz,254,254
Thu,18:08:22,US-West-1,AP-Southeast-1,Amazon-Web-Services,Intel-Xeon-2.5-GHz,254,254
Thu,18:14:00,US-West-1,AP-Southeast-1,Amazon-Web-Services,Intel-Xeon-2.5-GHz,238,242
Thu,18:19:39,US-West-1,AP-Southeast-1,Amazon-Web-Services,Intel-Xeon-2.5-GHz,240,250
Thu,18:25:38,US-West-1,AP-Southeast-1,Amazon-Web-Services,Intel-Xeon-2.5-GHz,206,210
Thu,18:31:28,US-West-1,AP-Southeast-1,Amazon-Web-Services,Intel-Xeon-2.5-GHz,208,244
Thu,18:37:22,US-West-1,AP-Southeast-1,Amazon-Web-Services,Intel-Xeon-2.5-GHz,249,249
Thu,18:42:56,US-West-1,AP-Southeast-1,Amazon-Web-Services,Intel-Xeon-2.5-GHz,221,240
Thu,18:48:53,US-West-1,AP-Southeast-1,Amazon-Web-Services,Intel-Xeon-2.5-GHz,221,221
Thu,18:54:33,US-West-1,AP-Southeast-1,Amazon-Web-Services,Intel-Xeon-2.5-GHz,179,250
Thu,19:00:32,US-West-1,AP-Southeast-1,Amazon-Web-Services,Intel-Xeon-2.5-GHz,181,249
Thu,19:06:21,US-West-1,AP-Southeast-1,Amazon-Web-Services,Intel-Xeon-2.5-GHz,233,240
Thu,19:12:05,US-West-1,AP-Southeast-1,Amazon-Web-Services,Intel-Xeon-2.5-GHz,222,222
Thu,19:17:42,US-West-1,AP-Southeast-1,Amazon-Web-Services,Intel-Xeon-2.5-GHz,226,226
Thu,19:23:16,US-West-1,AP-Southeast-1,Amazon-Web-Services,Intel-Xeon-2.5-GHz,225,249
Thu,19:29:09,US-West-1,AP-Southeast-1,Amazon-Web-Services,Intel-Xeon-2.5-GHz,170,235
Thu,19:35:08,US-West-1,AP-Southeast-1,Amazon-Web-Services,Intel-Xeon-2.5-GHz,214,214
Thu,19:40:47,US-West-1,AP-Southeast-1,Amazon-Web-Services,Intel-Xeon-2.5-GHz,242,244
