Day, Time, Sender Region, Receiver Region, Provider, Processor, Low ABW, High ABW
Wed,15:27:49,US-West-1,AP-Southeast-1,Amazon-Web-Services,Intel-Xeon-2.5-GHz,243,243
Wed,15:33:27,US-West-1,AP-Southeast-1,Amazon-Web-Services,Intel-Xeon-2.5-GHz,255,255
Wed,15:39:06,US-West-1,AP-Southeast-1,Amazon-Web-Services,Intel-Xeon-2.5-GHz,249,249
Wed,15:44:40,US-West-1,AP-Southeast-1,Amazon-Web-Services,Intel-Xeon-2.5-GHz,249,249
Wed,15:50:19,US-West-1,AP-Southeast-1,Amazon-Web-Services,Intel-Xeon-2.5-GHz,239,243
Wed,15:55:58,US-West-1,AP-Southeast-1,Amazon-Web-Services,Intel-Xeon-2.5-GHz,243,243
Wed,16:01:37,US-West-1,AP-Southeast-1,Amazon-Web-Services,Intel-Xeon-2.5-GHz,234,250
Wed,16:07:16,US-West-1,AP-Southeast-1,Amazon-Web-Services,Intel-Xeon-2.5-GHz,250,254
Wed,16:12:54,US-West-1,AP-Southeast-1,Amazon-Web-Services,Intel-Xeon-2.5-GHz,230,238
Wed,16:18:34,US-West-1,AP-Southeast-1,Amazon-Web-Services,Intel-Xeon-2.5-GHz,240,240
Wed,16:24:12,US-West-1,AP-Southeast-1,Amazon-Web-Services,Intel-Xeon-2.5-GHz,238,244
Wed,16:29:51,US-West-1,AP-Southeast-1,Amazon-Web-Services,Intel-Xeon-2.5-GHz,243,250
Wed,16:35:31,US-West-1,AP-Southeast-1,Amazon-Web-Services,Intel-Xeon-2.5-GHz,244,244
Wed,16:41:03,US-West-1,AP-Southeast-1,Amazon-Web-Services,Intel-Xeon-2.5-GHz,249,250
Wed,16:46:47,US-West-1,AP-Southeast-1,Amazon-Web-Services,Intel-Xeon-2.5-GHz,240,249
Wed,16:52:46,US-West-1,AP-Southeast-1,Amazon-Web-Services,Intel-Xeon-2.5-GHz,244,244
Wed,16:58:25,US-West-1,AP-Southeast-1,Amazon-Web-Services,Intel-Xeon-2.5-GHz,244,250
Wed,17:04:08,US-West-1,AP-Southeast-1,Amazon-Web-Services,Intel-Xeon-2.5-GHz,244,248
Wed,17:09:47,US-West-1,AP-Southeast-1,Amazon-Web-Services,Intel-Xeon-2.5-GHz,206,206
Wed,17:15:46,US-West-1,AP-Southeast-1,Amazon-Web-Services,Intel-Xeon-2.5-GHz,249,249
Wed,17:21:24,US-West-1,AP-Southeast-1,Amazon-Web-Services,Intel-Xeon-2.5-GHz,169,254
Wed,17:27:24,US-West-1,AP-Southeast-1,Amazon-Web-Services,Intel-Xeon-2.5-GHz,206,255
Wed,17:33:23,US-West-1,AP-Southeast-1,Amazon-Web-Services,Intel-Xeon-2.5-GHz,239,244
Wed,17:39:02,US-West-1,AP-Southeast-1,Amazon-Web-Services,Intel-Xeon-2.5-GHz,243,250
Wed,17:44:41,US-West-1,AP-Southeast-1,Amazon-Web-Services,Intel-Xeon-2.5-GHz,222,222
Wed,17:50:14,US-West-1,AP-Southeast-1,Amazon-Web-Services,Intel-Xeon-2.5-GHz,247,247
Wed,17:55:53,US-West-1,AP-Southeast-1,Amazon-Web-Services,Intel-Xeon-2.5-GHz,250,250
Wed,18:01:50,US-West-1,AP-Southeast-1,Amazon-Web-Services,Intel-Xeon-2.5-GHz,250,250
Wed,18:07:45,US-West-1,AP-Southeast-1,Amazon-Web-Services,Intel-Xeon-2.5-GHz,210,210
Wed,18:13:18,US-West-1,AP-Southeast-1,Amazon-Web-Services,Intel-Xeon-2.5-GHz,221,244
Wed,18:19:11,US-West-1,AP-Southeast-1,Amazon-Web-Services,Intel-Xeon-2.5-GHz,243,243
Wed,18:24:55,US-West-1,AP-Southeast-1,Amazon-Web-Services,Intel-Xeon-2.5-GHz,235,244
Wed,18:30:54,US-West-1,AP-Southeast-1,Amazon-Web-Services,Intel-Xeon-2.5-GHz,255,255
Wed,18:36:32,US-West-1,AP-Southeast-1,Amazon-Web-Services,Intel-Xeon-2.5-GHz,244,244
Wed,18:42:05,US-West-1,AP-Southeast-1,Amazon-Web-Services,Intel-Xeon-2.5-GHz,250,254
Wed,18:47:45,US-West-1,AP-Southeast-1,Amazon-Web-Services,Intel-Xeon-2.5-GHz,198,198
Wed,18:53:19,US-West-1,AP-Southeast-1,Amazon-Web-Services,Intel-Xeon-2.5-GHz,249,249
Wed,18:58:57,US-West-1,AP-Southeast-1,Amazon-Web-Services,Intel-Xeon-2.5-GHz,238,238
Wed,19:04:35,US-West-1,AP-Southeast-1,Amazon-Web-Services,Intel-Xeon-2.5-GHz,240,240
