Day, Time, Sender Region, Receiver Region, Hop IP, Duration, Hop Count
Thu,15:09:39,Asia-Northeast-1,US-West-2,175.41.128.208,20,1
Thu,15:09:39,Asia-Northeast-1,US-West-2,100.66.0.232,12,2
Thu,15:09:39,Asia-Northeast-1,US-West-2,100.66.0.43,17,3
Thu,15:09:39,Asia-Northeast-1,US-West-2,100.65.1.161,0,4
Thu,15:09:39,Asia-Northeast-1,US-West-2,203.83.223.76,175,5
Thu,15:09:39,Asia-Northeast-1,US-West-2,52.93.9.94,181,6
Thu,15:09:39,Asia-Northeast-1,US-West-2,52.93.9.129,174,7
Thu,15:09:39,Asia-Northeast-1,US-West-2,54.239.41.162,174,8
Thu,15:09:39,Asia-Northeast-1,US-West-2,54.239.52.128,174,9
Thu,15:09:39,Asia-Northeast-1,US-West-2,54.239.41.161,176,10
Thu,15:09:39,Asia-Northeast-1,US-West-2,54.239.43.43,174,11
Thu,15:09:39,Asia-Northeast-1,US-West-2,54.240.242.96,889,12
Thu,15:09:39,Asia-Northeast-1,US-West-2,52.93.70.201,174,13
Thu,15:09:39,Asia-Northeast-1,US-West-2,54.240.242.48,978,14
Thu,15:09:39,Asia-Northeast-1,US-West-2,54.240.242.67,175,15
Thu,15:09:39,Asia-Northeast-1,US-West-2,72.21.222.17,175,16
Thu,15:09:39,Asia-Northeast-1,US-West-2,100.64.16.36,176,17
Thu,15:09:39,Asia-Northeast-1,US-West-2,100.64.0.137,175,18
Thu,15:09:39,Asia-Northeast-1,US-West-2,100.64.2.156,177,19
Thu,15:09:39,Asia-Northeast-1,US-West-2,54.219.172.244,175,20
Thu,15:15:17,Asia-Northeast-1,US-West-2,175.41.128.206,16,1
Thu,15:15:17,Asia-Northeast-1,US-West-2,100.66.0.178,15,2
Thu,15:15:17,Asia-Northeast-1,US-West-2,100.66.0.43,13,3
Thu,15:15:17,Asia-Northeast-1,US-West-2,100.65.0.161,0,4
Thu,15:15:17,Asia-Northeast-1,US-West-2,203.83.223.76,174,5
Thu,15:15:17,Asia-Northeast-1,US-West-2,52.93.9.182,183,6
Thu,15:15:17,Asia-Northeast-1,US-West-2,52.93.9.129,174,7
Thu,15:15:17,Asia-Northeast-1,US-West-2,54.239.41.162,174,8
Thu,15:15:17,Asia-Northeast-1,US-West-2,54.239.52.128,174,9
Thu,15:15:17,Asia-Northeast-1,US-West-2,54.239.41.161,174,10
Thu,15:15:17,Asia-Northeast-1,US-West-2,54.239.43.43,175,11
Thu,15:15:17,Asia-Northeast-1,US-West-2,54.240.242.156,188,12
Thu,15:15:17,Asia-Northeast-1,US-West-2,54.240.242.91,174,13
Thu,15:15:17,Asia-Northeast-1,US-West-2,54.240.242.148,187,14
Thu,15:15:17,Asia-Northeast-1,US-West-2,54.240.242.47,175,15
Thu,15:15:17,Asia-Northeast-1,US-West-2,72.21.222.17,175,16
Thu,15:15:17,Asia-Northeast-1,US-West-2,100.64.16.56,175,17
Thu,15:15:17,Asia-Northeast-1,US-West-2,100.64.0.159,176,18
Thu,15:15:17,Asia-Northeast-1,US-West-2,100.64.2.50,175,19
Thu,15:15:17,Asia-Northeast-1,US-West-2,54.219.172.244,175,20
Thu,15:20:56,Asia-Northeast-1,US-West-2,175.41.128.208,15,1
