Day, Time, Sender Region, Receiver Region, Hop IP, Duration, Hop Count
Wed,15:27:49,Asia-Northeast-1,US-West-2,175.41.128.206,21,1
Wed,15:27:49,Asia-Northeast-1,US-West-2,100.66.0.176,17,2
Wed,15:27:49,Asia-Northeast-1,US-West-2,100.66.0.57,18,3
Wed,15:27:49,Asia-Northeast-1,US-West-2,100.65.1.1,0,4
Wed,15:27:49,Asia-Northeast-1,US-West-2,203.83.223.18,174,5
Wed,15:27:49,Asia-Northeast-1,US-West-2,52.93.9.72,179,6
Wed,15:27:49,Asia-Northeast-1,US-West-2,52.93.9.173,174,7
Wed,15:27:49,Asia-Northeast-1,US-West-2,54.239.41.162,174,8
Wed,15:27:49,Asia-Northeast-1,US-West-2,54.239.52.128,174,9
Wed,15:27:49,Asia-Northeast-1,US-West-2,54.239.41.161,181,10
Wed,15:27:49,Asia-Northeast-1,US-West-2,54.239.43.43,174,11
Wed,15:27:49,Asia-Northeast-1,US-West-2,54.240.242.136,190,12
Wed,15:27:49,Asia-Northeast-1,US-West-2,52.93.70.199,174,13
Wed,15:27:49,Asia-Northeast-1,US-West-2,52.93.70.176,186,14
Wed,15:27:49,Asia-Northeast-1,US-West-2,54.240.242.87,175,15
Wed,15:27:49,Asia-Northeast-1,US-West-2,72.21.222.17,175,16
Wed,15:27:49,Asia-Northeast-1,US-West-2,100.64.16.146,176,17
Wed,15:27:49,Asia-Northeast-1,US-West-2,100.64.0.109,176,18
Wed,15:27:49,Asia-Northeast-1,US-West-2,100.64.2.88,175,19
Wed,15:27:49,Asia-Northeast-1,US-West-2,54.153.87.95,175,20
Wed,15:33:27,Asia-Northeast-1,US-West-2,175.41.128.206,25,1
Wed,15:33:27,Asia-Northeast-1,US-West-2,100.66.0.130,19,2
Wed,15:33:27,Asia-Northeast-1,US-West-2,100.66.0.71,14,3
Wed,15:33:27,Asia-Northeast-1,US-West-2,100.65.1.161,0,4
Wed,15:33:27,Asia-Northeast-1,US-West-2,203.83.223.18,174,5
Wed,15:33:27,Asia-Northeast-1,US-West-2,52.93.9.116,180,6
Wed,15:33:27,Asia-Northeast-1,US-West-2,52.93.9.19,174,7
Wed,15:33:27,Asia-Northeast-1,US-West-2,54.239.41.162,174,8
Wed,15:33:27,Asia-Northeast-1,US-West-2,54.239.52.128,174,9
Wed,15:33:27,Asia-Northeast-1,US-West-2,54.239.41.161,173,10
Wed,15:33:27,Asia-Northeast-1,US-West-2,54.239.43.43,174,11
Wed,15:33:27,Asia-Northeast-1,US-West-2,54.240.242.156,187,12
Wed,15:33:27,Asia-Northeast-1,US-West-2,52.93.70.183,174,13
Wed,15:33:27,Asia-Northeast-1,US-West-2,54.240.242.150,188,14
Wed,15:33:27,Asia-Northeast-1,US-West-2,54.240.242.67,175,15
Wed,15:33:27,Asia-Northeast-1,US-West-2,72.21.222.17,175,16
Wed,15:33:27,Asia-Northeast-1,US-West-2,100.64.16.8,175,17
Wed,15:33:27,Asia-Northeast-1,US-West-2,100.64.0.199,175,18
Wed,15:33:27,Asia-Northeast-1,US-West-2,100.64.2.110,176,19
Wed,15:33:27,Asia-Northeast-1,US-West-2,54.153.87.95,175,20
Wed,15:39:06,Asia-Northeast-1,US-West-2,175.41.128.206,21,1
Wed,15:39:06,Asia-Northeast-1,US-West-2,100.66.0.226,18,2
Wed,15:39:06,Asia-Northeast-1,US-West-2,100.66.0.69,17,3
Wed,15:39:06,Asia-Northeast-1,US-West-2,100.65.0.1,0,4
Wed,15:39:06,Asia-Northeast-1,US-West-2,203.83.223.18,174,5
Wed,15:39:06,Asia-Northeast-1,US-West-2,52.93.9.116,180,6
Wed,15:39:06,Asia-Northeast-1,US-West-2,52.93.9.41,173,7
Wed,15:39:06,Asia-Northeast-1,US-West-2,54.239.41.162,173,8
Wed,15:39:06,Asia-Northeast-1,US-West-2,54.239.52.128,173,9
Wed,15:39:06,Asia-Northeast-1,US-West-2,54.239.41.161,174,10
Wed,15:39:06,Asia-Northeast-1,US-West-2,54.239.43.43,174,11
Wed,15:39:06,Asia-Northeast-1,US-West-2,54.240.242.56,180,12
Wed,15:39:06,Asia-Northeast-1,US-West-2,52.93.70.185,175,13
Wed,15:39:06,Asia-Northeast-1,US-West-2,52.93.70.182,187,14
Wed,15:39:06,Asia-Northeast-1,US-West-2,54.240.242.127,175,15
Wed,15:39:06,Asia-Northeast-1,US-West-2,72.21.222.17,176,16
Wed,15:39:06,Asia-Northeast-1,US-West-2,100.64.16.122,175,17
Wed,15:39:06,Asia-Northeast-1,US-West-2,100.64.0.95,175,18
Wed,15:39:06,Asia-Northeast-1,US-West-2,100.64.2.210,175,19
Wed,15:39:06,Asia-Northeast-1,US-West-2,54.153.87.95,175,20
Wed,15:44:40,Asia-Northeast-1,US-West-2,175.41.128.202,14,1
Wed,15:44:40,Asia-Northeast-1,US-West-2,100.66.0.210,13,2
Wed,15:44:40,Asia-Northeast-1,US-West-2,100.66.0.119,11,3
Wed,15:44:40,Asia-Northeast-1,US-West-2,100.65.1.1,0,4
Wed,15:44:40,Asia-Northeast-1,US-West-2,203.83.223.76,174,5
Wed,15:44:40,Asia-Northeast-1,US-West-2,52.93.9.138,183,6
Wed,15:44:40,Asia-Northeast-1,US-West-2,52.93.9.63,173,7
Wed,15:44:40,Asia-Northeast-1,US-West-2,54.239.41.162,174,8
Wed,15:44:40,Asia-Northeast-1,US-West-2,54.239.52.128,174,9
Wed,15:44:40,Asia-Northeast-1,US-West-2,54.239.41.161,214,10
Wed,15:44:40,Asia-Northeast-1,US-West-2,54.239.43.43,174,11
Wed,15:44:40,Asia-Northeast-1,US-West-2,54.240.242.136,639,12
Wed,15:44:40,Asia-Northeast-1,US-West-2,54.240.242.129,174,13
Wed,15:44:40,Asia-Northeast-1,US-West-2,54.240.242.92,295,14
Wed,15:44:40,Asia-Northeast-1,US-West-2,54.240.242.147,175,15
