Day, Time, Sender Region, Receiver Region, Hop IP, Duration, Hop Count
Tue,15:04:10,Asia-Northeast-1,US-West-2,175.41.128.208,11,1
Tue,15:04:10,Asia-Northeast-1,US-West-2,100.66.0.144,18,2
Tue,15:04:10,Asia-Northeast-1,US-West-2,100.66.0.69,16,3
Tue,15:04:10,Asia-Northeast-1,US-West-2,100.65.1.1,0,4
Tue,15:04:10,Asia-Northeast-1,US-West-2,203.83.223.18,174,5
Tue,15:04:10,Asia-Northeast-1,US-West-2,52.93.9.50,180,6
Tue,15:04:10,Asia-Northeast-1,US-West-2,52.93.9.85,173,7
Tue,15:04:10,Asia-Northeast-1,US-West-2,54.239.41.162,173,8
Tue,15:04:10,Asia-Northeast-1,US-West-2,54.239.52.128,173,9
Tue,15:04:10,Asia-Northeast-1,US-West-2,54.239.41.161,173,10
Tue,15:04:10,Asia-Northeast-1,US-West-2,54.239.43.43,173,11
Tue,15:04:10,Asia-Northeast-1,US-West-2,54.240.242.116,182,12
Tue,15:04:10,Asia-Northeast-1,US-West-2,54.240.242.218,174,13
Tue,15:04:10,Asia-Northeast-1,US-West-2,54.240.242.130,183,14
Tue,15:04:10,Asia-Northeast-1,US-West-2,54.240.242.147,175,15
Tue,15:04:10,Asia-Northeast-1,US-West-2,205.251.229.158,175,16
Tue,15:04:10,Asia-Northeast-1,US-West-2,100.64.16.144,175,17
Tue,15:04:10,Asia-Northeast-1,US-West-2,100.64.0.55,176,18
Tue,15:04:10,Asia-Northeast-1,US-West-2,100.64.2.172,175,19
Tue,15:04:10,Asia-Northeast-1,US-West-2,54.183.7.195,175,20
Tue,15:09:44,Asia-Northeast-1,US-West-2,175.41.128.202,11,1
Tue,15:09:44,Asia-Northeast-1,US-West-2,100.66.0.220,19,2
Tue,15:09:44,Asia-Northeast-1,US-West-2,100.66.0.81,15,3
Tue,15:09:44,Asia-Northeast-1,US-West-2,100.65.1.161,0,4
Tue,15:09:44,Asia-Northeast-1,US-West-2,203.83.223.76,174,5
Tue,15:09:44,Asia-Northeast-1,US-West-2,52.93.9.94,180,6
Tue,15:09:44,Asia-Northeast-1,US-West-2,52.93.9.19,173,7
Tue,15:09:44,Asia-Northeast-1,US-West-2,54.239.41.162,174,8
Tue,15:09:44,Asia-Northeast-1,US-West-2,54.239.52.128,174,9
Tue,15:09:44,Asia-Northeast-1,US-West-2,54.239.41.161,174,10
Tue,15:09:44,Asia-Northeast-1,US-West-2,54.239.43.43,174,11
Tue,15:09:44,Asia-Northeast-1,US-West-2,54.240.242.96,184,12
Tue,15:09:44,Asia-Northeast-1,US-West-2,54.240.242.212,173,13
Tue,15:09:44,Asia-Northeast-1,US-West-2,54.240.242.52,178,14
Tue,15:09:44,Asia-Northeast-1,US-West-2,54.240.242.127,175,15
Tue,15:09:44,Asia-Northeast-1,US-West-2,72.21.222.17,175,16
Tue,15:09:44,Asia-Northeast-1,US-West-2,100.64.16.30,175,17
Tue,15:09:44,Asia-Northeast-1,US-West-2,100.64.0.121,175,18
Tue,15:09:44,Asia-Northeast-1,US-West-2,100.64.2.130,175,19
Tue,15:09:44,Asia-Northeast-1,US-West-2,54.183.7.195,175,20
Tue,15:15:22,Asia-Northeast-1,US-West-2,175.41.128.208,17,1
Tue,15:15:22,Asia-Northeast-1,US-West-2,100.66.0.228,19,2
Tue,15:15:22,Asia-Northeast-1,US-West-2,100.66.0.5,16,3
Tue,15:15:22,Asia-Northeast-1,US-West-2,100.65.1.33,0,4
Tue,15:15:22,Asia-Northeast-1,US-West-2,203.83.223.18,174,5
