Day, Time, Origin, Destination, DNS, Hop IP, Duration, Hop Count
Fri,23:32:38,rwanda,algeria,rwanda-fw-252.net.rwanda.cmu.local,172.29.52.1,3,1
Fri,23:32:38,rwanda,algeria,41.74.174.49,41.74.174.49,7,2
Fri,23:32:38,rwanda,algeria,197.243.126.165,197.243.126.165,7,3
Fri,23:32:38,rwanda,algeria,192.168.1.253,192.168.1.253,7,4
Fri,23:32:38,rwanda,algeria,192.168.1.230,192.168.1.230,7,5
Fri,23:32:38,rwanda,algeria,197.243.126.29,197.243.126.29,7,6
Fri,23:32:38,rwanda,algeria,41.223.224.210,41.223.224.210,6,7
Fri,23:32:38,rwanda,algeria,197.155.94.164.liquidtelecom.net,197.155.94.164,190,8
Fri,23:32:38,rwanda,algeria,teng0-2-0-0.lke-p2-nbi.liquidtelecom.net,197.155.94.96,190,9
Fri,23:32:38,rwanda,algeria,ten-0-1-1-1-p1-msa.liquidtelecom.net,197.155.94.75,27,10
Fri,23:32:38,rwanda,algeria,teng0-0-1-0-0-lfr-pe1-mrs.liquidtelecom.net,5.11.10.122,190,11
Fri,23:32:38,rwanda,algeria,teng0-3-0-4.luk-p1-tho.liquidtelecom.net,5.11.10.121,184,12
Fri,23:32:38,rwanda,algeria,bundle-ether3-luk-pe1-tho.liquidtelecom.net,5.11.10.103,196,13
Fri,23:32:38,rwanda,algeria,ix-xe-0-3-3-100.tcore2.ldn-london.as6453.net,80.231.20.61,165,14
Fri,23:32:38,rwanda,algeria,if-ae-26-2.tcore1.ldn-london.as6453.net,80.231.62.58,170,15
Fri,23:32:38,rwanda,algeria,195.219.83.30,195.219.83.30,167,16
Fri,23:32:38,rwanda,algeria,172.16.44.138,172.16.44.138,212,17
Fri,23:32:38,rwanda,algeria,172.31.2.83,172.31.2.83,211,18
Fri,23:32:38,rwanda,algeria,10.10.13.99,10.10.13.99,210,19
Fri,23:32:38,rwanda,algeria,*,*,*,20
Fri,23:32:38,rwanda,algeria,*,*,*,21
Fri,23:32:38,rwanda,algeria,*,*,*,22
Fri,23:32:38,rwanda,algeria,*,*,*,23
Fri,23:32:38,rwanda,algeria,*,*,*,24
Fri,23:32:38,rwanda,algeria,*,*,*,25
Fri,23:32:38,rwanda,algeria,*,*,*,26
