Day, Time, Origin, Destination, DNS, Hop IP, Duration, Hop Count
Fri,23:34:07,rwanda,angola,rwanda-fw-252.net.rwanda.cmu.local,172.29.52.1,1,1
Fri,23:34:07,rwanda,angola,41.74.174.49,41.74.174.49,5,2
Fri,23:34:07,rwanda,angola,197.243.126.165,197.243.126.165,5,3
Fri,23:34:07,rwanda,angola,192.168.1.253,192.168.1.253,5,4
Fri,23:34:07,rwanda,angola,192.168.1.230,192.168.1.230,5,5
Fri,23:34:07,rwanda,angola,197.243.126.29,197.243.126.29,5,6
Fri,23:34:07,rwanda,angola,41.223.224.210,41.223.224.210,4,7
Fri,23:34:07,rwanda,angola,197.155.94.164.liquidtelecom.net,197.155.94.164,69,8
Fri,23:34:07,rwanda,angola,pos0-1-1-2-p1-msa.liquidtelecom.net,197.155.94.42,69,9
Fri,23:34:07,rwanda,angola,teng0-0-1-3-p1-msa.liquidtelecom.net,197.155.94.9,25,10
Fri,23:34:07,rwanda,angola,gi2-0-0.lza-p2-jhb.liquidtelecom.net,77.246.57.69,71,11
Fri,23:34:07,rwanda,angola,eth-trunk-1-pe2-jhb.liquidtelecom.net,46.17.232.13,69,12
Fri,23:34:07,rwanda,angola,angolacables.ixp.joburg,196.60.8.60,306,13
Fri,23:34:07,rwanda,angola,pe2-ne026.ang.lad.as37468.angolacables.ao,197.149.149.117,306,14
Fri,23:34:07,rwanda,angola,pe1-ne011.ang.lad.as37468.angolacables.ao,197.149.151.3,306,15
Fri,23:34:07,rwanda,angola,197.149.148.237,197.149.148.237,306,16
Fri,23:34:07,rwanda,angola,41.222.238.26,41.222.238.26,306,17
Fri,23:34:07,rwanda,angola,41.222.238.7,41.222.238.7,260,18
Fri,23:34:07,rwanda,angola,*,*,*,19
Fri,23:34:07,rwanda,angola,*,*,*,20
Fri,23:34:07,rwanda,angola,*,*,*,21
Fri,23:34:07,rwanda,angola,*,*,*,22
Fri,23:34:07,rwanda,angola,*,*,*,23
Fri,23:34:07,rwanda,angola,*,*,*,24
Fri,23:34:07,rwanda,angola,*,*,*,25
Fri,23:34:07,rwanda,angola,*,*,*,26
Fri,23:34:07,rwanda,angola,*,*,*,27
Fri,23:34:07,rwanda,angola,*,*,*,28
Fri,23:34:07,rwanda,angola,*,*,*,29
Fri,23:34:07,rwanda,angola,*,*,*,30
Fri,23:45:24,rwanda,angola,rwanda-fw-252.net.rwanda.cmu.local,172.29.52.1,1,1
Fri,23:45:24,rwanda,angola,41.74.174.49,41.74.174.49,4,2
Fri,23:45:24,rwanda,angola,197.243.126.165,197.243.126.165,5,3
Fri,23:45:24,rwanda,angola,192.168.1.253,192.168.1.253,5,4
Fri,23:45:24,rwanda,angola,192.168.1.230,192.168.1.230,6,5
Fri,23:45:24,rwanda,angola,197.243.126.29,197.243.126.29,5,6
Fri,23:45:24,rwanda,angola,41.223.224.210,41.223.224.210,4,7
Fri,23:45:24,rwanda,angola,197.155.94.164.liquidtelecom.net,197.155.94.164,68,8
Fri,23:45:24,rwanda,angola,teng0-2-0-0.lke-p2-nbi.liquidtelecom.net,197.155.94.96,69,9
Fri,23:45:24,rwanda,angola,teng0-0-1-3-p1-msa.liquidtelecom.net,197.155.94.9,26,10
Fri,23:45:24,rwanda,angola,gi2-0-0.lza-p2-jhb.liquidtelecom.net,77.246.57.69,71,11
Fri,23:45:24,rwanda,angola,eth-trunk-1-pe2-jhb.liquidtelecom.net,46.17.232.13,68,12
Fri,23:45:24,rwanda,angola,angolacables.ixp.joburg,196.60.8.60,222,13
Fri,23:45:24,rwanda,angola,pe2-ne026.ang.lad.as37468.angolacables.ao,197.149.149.117,261,14
Fri,23:45:24,rwanda,angola,pe2-ne022.ang.lad.as37468.angolacables.ao,197.149.151.19,263,15
Fri,23:45:24,rwanda,angola,197.149.148.237,197.149.148.237,267,16
Fri,23:45:24,rwanda,angola,41.222.238.26,41.222.238.26,267,17
Fri,23:45:24,rwanda,angola,41.222.238.7,41.222.238.7,261,18
Fri,23:45:24,rwanda,angola,*,*,*,19
Fri,23:45:24,rwanda,angola,*,*,*,20
Fri,23:45:24,rwanda,angola,*,*,*,21
Fri,23:45:24,rwanda,angola,*,*,*,22
Fri,23:45:24,rwanda,angola,*,*,*,23
Fri,23:45:24,rwanda,angola,*,*,*,24
Fri,23:45:24,rwanda,angola,*,*,*,25
Fri,23:45:24,rwanda,angola,*,*,*,26
Fri,23:45:24,rwanda,angola,*,*,*,27
Fri,23:45:24,rwanda,angola,*,*,*,28
Fri,23:45:24,rwanda,angola,*,*,*,29
Fri,23:45:24,rwanda,angola,*,*,*,30
