Day, Time, Origin, Destination, DNS, Hop IP, Duration, Hop Count
Fri,23:38:02,rwanda,japan,rwanda-fw-252.net.rwanda.cmu.local,172.29.52.1,1,1
Fri,23:38:02,rwanda,japan,41.74.174.49,41.74.174.49,4,2
Fri,23:38:02,rwanda,japan,197.243.126.165,197.243.126.165,5,3
Fri,23:38:02,rwanda,japan,192.168.1.253,192.168.1.253,5,4
Fri,23:38:02,rwanda,japan,192.168.1.230,192.168.1.230,6,5
Fri,23:38:02,rwanda,japan,197.243.126.29,197.243.126.29,6,6
Fri,23:38:02,rwanda,japan,41.223.224.210,41.223.224.210,4,7
Fri,23:38:02,rwanda,japan,197.155.94.164.liquidtelecom.net,197.155.94.164,186,8
Fri,23:38:02,rwanda,japan,197.155.94.148.liquidtelecom.net,197.155.94.148,186,9
Fri,23:38:02,rwanda,japan,teng0-0-1-3-p1-kpl.liquidtelecom.net,197.155.94.19,186,10
Fri,23:38:02,rwanda,japan,teng0-0-1-0-p2-msa.liquidtelecom.net,197.155.94.11,28,11
Fri,23:38:02,rwanda,japan,teng-0-0-1-2-pe1-fuj.liquidtelecom.net,197.155.94.82,73,12
Fri,23:38:02,rwanda,japan,teng0-0-0-1-luk-p2-tho.liquidtelecom.net,5.11.10.214,181,13
Fri,23:38:02,rwanda,japan,teng0-0-0-0-luk-pe1-tcy.liquidtelecom.net,5.11.10.99,181,14
Fri,23:38:02,rwanda,japan,tenge13-2.br02.ams01.pccwbtn.net,80.249.209.37,191,15
Fri,23:38:02,rwanda,japan,tenge4-2.br01.tok02.pccwbtn.net,63.218.250.37,425,16
Fri,23:38:02,rwanda,japan,tenge0-3-0-6.br02.tok02.pccwbtn.net,63.218.250.117,417,17
Fri,23:38:02,rwanda,japan,63-216-242-78.static.pccwglobal.net,63.216.242.78,426,18
Fri,23:38:02,rwanda,japan,52.95.30.167,52.95.30.167,428,19
Fri,23:38:02,rwanda,japan,52.95.30.130,52.95.30.130,421,20
Fri,23:38:02,rwanda,japan,52.95.30.218,52.95.30.218,451,21
Fri,23:38:02,rwanda,japan,*,*,*,22
Fri,23:38:02,rwanda,japan,*,*,*,23
Fri,23:38:02,rwanda,japan,*,*,*,24
Fri,23:38:02,rwanda,japan,ec2-52-199-67-14.ap-northeast-1.compute.amazonaws.com,52.199.67.14,769,25
Fri,23:46:55,rwanda,japan,rwanda-fw-252.net.rwanda.cmu.local,172.29.52.1,1,1
Fri,23:46:55,rwanda,japan,41.74.174.49,41.74.174.49,4,2
Fri,23:46:55,rwanda,japan,197.243.126.165,197.243.126.165,5,3
Fri,23:46:55,rwanda,japan,192.168.1.253,192.168.1.253,5,4
Fri,23:46:55,rwanda,japan,192.168.1.230,192.168.1.230,5,5
Fri,23:46:55,rwanda,japan,197.243.126.29,197.243.126.29,5,6
Fri,23:46:55,rwanda,japan,41.223.224.210,41.223.224.210,4,7
Fri,23:46:55,rwanda,japan,197.155.94.164.liquidtelecom.net,197.155.94.164,186,8
Fri,23:46:55,rwanda,japan,teng0-0-1-3.lug-p1-kpl.liquidtelecom.net,197.155.94.80,182,9
Fri,23:46:55,rwanda,japan,teng0-1-1-1.lke-p1-nbi.liquidtelecom.net,197.155.94.68,181,10
Fri,23:46:55,rwanda,japan,ten-0-1-1-2-p2-msa.liquidtelecom.net,197.155.94.73,26,11
Fri,23:46:55,rwanda,japan,teng-0-0-1-2-pe1-fuj.liquidtelecom.net,197.155.94.82,72,12
Fri,23:46:55,rwanda,japan,teng0-0-0-1-luk-p2-tho.liquidtelecom.net,5.11.10.214,252,13
Fri,23:46:55,rwanda,japan,teng0-0-0-0-luk-pe1-tcy.liquidtelecom.net,5.11.10.99,252,14
Fri,23:46:55,rwanda,japan,tenge13-2.br02.ams01.pccwbtn.net,80.249.209.37,252,15
Fri,23:46:55,rwanda,japan,tenge4-2.br01.tok02.pccwbtn.net,63.218.250.37,555,16
Fri,23:46:55,rwanda,japan,tenge0-3-0-8.br02.tok02.pccwbtn.net,63.218.250.129,554,17
Fri,23:46:55,rwanda,japan,63-216-242-54.static.pccwglobal.net,63.216.242.54,480,18
Fri,23:46:55,rwanda,japan,52.95.30.159,52.95.30.159,444,19
Fri,23:46:55,rwanda,japan,52.95.30.126,52.95.30.126,444,20
Fri,23:46:55,rwanda,japan,52.95.30.218,52.95.30.218,443,21
Fri,23:46:55,rwanda,japan,*,*,*,22
Fri,23:46:55,rwanda,japan,*,*,*,23
Fri,23:46:55,rwanda,japan,*,*,*,24
Fri,23:46:55,rwanda,japan,ec2-52-199-67-14.ap-northeast-1.compute.amazonaws.com,52.199.67.14,507,25
Fri,23:55:14,rwanda,japan,rwanda-fw-252.net.rwanda.cmu.local,172.29.52.1,1,1
Fri,23:55:14,rwanda,japan,41.74.174.49,41.74.174.49,4,2
Fri,23:55:14,rwanda,japan,197.243.126.165,197.243.126.165,5,3
Fri,23:55:14,rwanda,japan,192.168.1.253,192.168.1.253,5,4
Fri,23:55:14,rwanda,japan,192.168.1.230,192.168.1.230,5,5
Fri,23:55:14,rwanda,japan,197.243.126.29,197.243.126.29,5,6
Fri,23:55:14,rwanda,japan,41.223.224.210,41.223.224.210,4,7
Fri,23:55:14,rwanda,japan,197.155.94.164.liquidtelecom.net,197.155.94.164,186,8
Fri,23:55:14,rwanda,japan,197.155.94.148.liquidtelecom.net,197.155.94.148,186,9
Fri,23:55:14,rwanda,japan,teng0-0-1-3-p1-kpl.liquidtelecom.net,197.155.94.19,186,10
Fri,23:55:14,rwanda,japan,teng0-0-1-0-p2-msa.liquidtelecom.net,197.155.94.11,27,11
Fri,23:55:14,rwanda,japan,teng-0-0-1-2-pe1-fuj.liquidtelecom.net,197.155.94.82,75,12
Fri,23:55:14,rwanda,japan,teng0-0-0-1-luk-p2-tho.liquidtelecom.net,5.11.10.214,246,13
Fri,23:55:14,rwanda,japan,teng0-0-0-0-luk-pe1-tcy.liquidtelecom.net,5.11.10.99,246,14
Fri,23:55:14,rwanda,japan,tenge13-2.br02.ams01.pccwbtn.net,80.249.209.37,246,15
Fri,23:55:14,rwanda,japan,tenge4-2.br01.tok02.pccwbtn.net,63.218.250.37,450,16
Fri,23:55:14,rwanda,japan,tenge0-3-0-8.br02.tok02.pccwbtn.net,63.218.250.129,450,17
Fri,23:55:14,rwanda,japan,63-218-251-238.static.pccwglobal.net,63.218.251.238,419,18
Fri,23:55:14,rwanda,japan,52.95.30.145,52.95.30.145,427,19
Fri,23:55:14,rwanda,japan,52.95.30.120,52.95.30.120,421,20
Fri,23:55:14,rwanda,japan,52.95.30.210,52.95.30.210,419,21
Fri,23:55:14,rwanda,japan,*,*,*,22
Fri,23:55:14,rwanda,japan,*,*,*,23
Fri,23:55:14,rwanda,japan,*,*,*,24
Fri,23:55:14,rwanda,japan,ec2-52-199-67-14.ap-northeast-1.compute.amazonaws.com,52.199.67.14,466,25
Sat,00:03:12,rwanda,japan,rwanda-fw-252.net.rwanda.cmu.local,172.29.52.1,1,1
Sat,00:03:12,rwanda,japan,41.74.174.49,41.74.174.49,4,2
Sat,00:03:12,rwanda,japan,197.243.126.165,197.243.126.165,5,3
Sat,00:03:12,rwanda,japan,192.168.1.253,192.168.1.253,5,4
Sat,00:03:12,rwanda,japan,192.168.1.230,192.168.1.230,5,5
Sat,00:03:12,rwanda,japan,197.243.126.29,197.243.126.29,5,6
Sat,00:03:12,rwanda,japan,41.223.224.210,41.223.224.210,4,7
Sat,00:03:12,rwanda,japan,197.155.94.164.liquidtelecom.net,197.155.94.164,185,8
Sat,00:03:12,rwanda,japan,teng0-0-1-3.lug-p1-kpl.liquidtelecom.net,197.155.94.80,182,9
Sat,00:03:12,rwanda,japan,teng0-1-1-1.lke-p1-nbi.liquidtelecom.net,197.155.94.68,183,10
Sat,00:03:12,rwanda,japan,197.155.94.169.liquidtelecom.net,197.155.94.169,26,11
Sat,00:03:12,rwanda,japan,teng-0-0-1-2-pe1-fuj.liquidtelecom.net,197.155.94.82,72,12
Sat,00:03:12,rwanda,japan,teng0-0-0-1-luk-p2-tho.liquidtelecom.net,5.11.10.214,181,13
Sat,00:03:12,rwanda,japan,teng0-0-0-0-luk-pe1-tcy.liquidtelecom.net,5.11.10.99,184,14
Sat,00:03:12,rwanda,japan,tenge13-2.br02.ams01.pccwbtn.net,80.249.209.37,190,15
