Day, Time, Origin, Destination, DNS, Hop IP, Duration, Hop Count
Mon,09:26:10,rwanda,ghana,gateway,192.168.230.1,8,1
Mon,09:26:10,rwanda,ghana,192.168.15.2,192.168.15.2,8,2
Mon,09:26:10,rwanda,ghana,192.168.3.176,192.168.3.176,16,3
Mon,09:26:10,rwanda,ghana,192.168.3.248,192.168.3.248,23,4
Mon,09:26:10,rwanda,ghana,197.243.115.237,197.243.115.237,24,5
Mon,09:26:10,rwanda,ghana,192.168.120.45,192.168.120.45,20,6
Mon,09:26:10,rwanda,ghana,192.168.1.241,192.168.1.241,10,7
Mon,09:26:10,rwanda,ghana,197.243.126.29,197.243.126.29,7,8
Mon,09:26:10,rwanda,ghana,41.223.224.210,41.223.224.210,221,9
Mon,09:26:10,rwanda,ghana,197.155.94.164.liquidtelecom.net,197.155.94.164,360,10
Mon,09:26:10,rwanda,ghana,teng0-2-0-0.lke-p2-nbi.liquidtelecom.net,197.155.94.96,360,11
Mon,09:26:10,rwanda,ghana,197.155.94.167.liquidtelecom.net,197.155.94.167,229,12
Mon,09:26:10,rwanda,ghana,*,*,*,13
Mon,09:26:10,rwanda,ghana,teng0-3-0-4.luk-p1-tho.liquidtelecom.net,5.11.10.121,359,14
Mon,09:26:10,rwanda,ghana,teng0-0-0-17.lza-pe1-cpt.liquidtelecom.net,5.11.10.171,354,15
Mon,09:26:10,rwanda,ghana,vodacom.ixp.capetown,196.10.140.12,241,16
Mon,09:26:10,rwanda,ghana,*,*,*,17
Mon,09:26:10,rwanda,ghana,41.21.232.70,41.21.232.70,436,18
Mon,09:26:10,rwanda,ghana,41-204-60-149-dedicated.4u.com.gh,41.204.60.149,453,19
Mon,09:26:10,rwanda,ghana,41-204-60-150-dedicated.4u.com.gh,41.204.60.150,450,20
Mon,09:26:10,rwanda,ghana,197.255.127.2,197.255.127.2,532,21
Mon,09:26:10,rwanda,ghana,197.255.127.35,197.255.127.35,532,22
Mon,09:26:10,rwanda,ghana,197.255.125.213,197.255.125.213,538,23
Mon,09:36:59,rwanda,ghana,gateway,192.168.230.1,1,1
Mon,09:36:59,rwanda,ghana,192.168.15.2,192.168.15.2,2,2
Mon,09:36:59,rwanda,ghana,192.168.3.176,192.168.3.176,5,3
Mon,09:36:59,rwanda,ghana,192.168.3.248,192.168.3.248,8,4
Mon,09:36:59,rwanda,ghana,197.243.115.237,197.243.115.237,10,5
Mon,09:36:59,rwanda,ghana,192.168.120.45,192.168.120.45,4,6
Mon,09:36:59,rwanda,ghana,192.168.1.241,192.168.1.241,18,7
Mon,09:36:59,rwanda,ghana,197.243.126.29,197.243.126.29,22,8
Mon,09:36:59,rwanda,ghana,41.223.224.210,41.223.224.210,227,9
Mon,09:36:59,rwanda,ghana,197.155.94.164.liquidtelecom.net,197.155.94.164,357,10
Mon,09:36:59,rwanda,ghana,teng0-2-0-0.lke-p2-nbi.liquidtelecom.net,197.155.94.96,361,11
Mon,09:36:59,rwanda,ghana,ten-0-1-1-1-p1-msa.liquidtelecom.net,197.155.94.75,225,12
Mon,09:36:59,rwanda,ghana,teng0-0-1-0-0-lfr-pe1-mrs.liquidtelecom.net,5.11.10.122,434,13
Mon,09:36:59,rwanda,ghana,teng0-3-0-4.luk-p1-tho.liquidtelecom.net,5.11.10.121,443,14
Mon,09:36:59,rwanda,ghana,teng0-0-0-17.lza-pe1-cpt.liquidtelecom.net,5.11.10.171,359,15
Mon,09:36:59,rwanda,ghana,vodacom.ixp.capetown,196.10.140.12,217,16
Mon,09:36:59,rwanda,ghana,*,*,*,17
Mon,09:36:59,rwanda,ghana,41.21.232.70,41.21.232.70,437,18
Mon,09:36:59,rwanda,ghana,*,*,*,19
