Day, Time, Origin, Destination, DNS, Hop IP, Duration, Hop Count
Mon,09:27:02,rwanda,kenya,gateway,192.168.230.1,1,1
Mon,09:27:02,rwanda,kenya,192.168.15.2,192.168.15.2,1,2
Mon,09:27:02,rwanda,kenya,192.168.3.176,192.168.3.176,1,3
Mon,09:27:02,rwanda,kenya,192.168.3.248,192.168.3.248,10,4
Mon,09:27:02,rwanda,kenya,197.243.115.237,197.243.115.237,10,5
Mon,09:27:02,rwanda,kenya,192.168.120.45,192.168.120.45,4,6
Mon,09:27:02,rwanda,kenya,192.168.1.241,192.168.1.241,5,7
Mon,09:27:02,rwanda,kenya,197.243.126.29,197.243.126.29,3,8
Mon,09:27:02,rwanda,kenya,*,*,*,9
Mon,09:27:02,rwanda,kenya,*,*,*,10
Mon,09:27:02,rwanda,kenya,*,*,*,11
Mon,09:27:02,rwanda,kenya,teng0-0-1-1-pe1-nbi.liquidtelecom.net,197.155.94.41,226,12
Mon,09:27:02,rwanda,kenya,*,*,*,13
Mon,09:27:02,rwanda,kenya,196.223.21.15,196.223.21.15,32,14
Mon,09:27:02,rwanda,kenya,196.201.222.166,196.201.222.166,41,15
Mon,09:27:02,rwanda,kenya,172.17.28.1,172.17.28.1,44,16
Mon,09:27:02,rwanda,kenya,*,*,*,17
Mon,09:27:02,rwanda,kenya,172.17.28.1,172.17.28.1,47,18
Mon,09:27:02,rwanda,kenya,*,*,*,19
Mon,09:27:02,rwanda,kenya,*,*,*,20
Mon,09:27:02,rwanda,kenya,*,*,*,21
Mon,09:27:02,rwanda,kenya,*,*,*,22
Mon,09:27:02,rwanda,kenya,*,*,*,23
Mon,09:27:02,rwanda,kenya,*,*,*,24
Mon,09:27:02,rwanda,kenya,*,*,*,25
Mon,09:27:02,rwanda,kenya,*,*,*,26
Mon,09:27:02,rwanda,kenya,*,*,*,27
Mon,09:27:02,rwanda,kenya,*,*,*,28
Mon,09:27:02,rwanda,kenya,*,*,*,29
Mon,09:27:02,rwanda,kenya,*,*,*,30
Mon,09:37:52,rwanda,kenya,gateway,192.168.230.1,1,1
Mon,09:37:52,rwanda,kenya,192.168.15.2,192.168.15.2,1,2
Mon,09:37:52,rwanda,kenya,192.168.3.176,192.168.3.176,3,3
Mon,09:37:52,rwanda,kenya,192.168.3.248,192.168.3.248,6,4
Mon,09:37:52,rwanda,kenya,197.243.115.237,197.243.115.237,5,5
Mon,09:37:52,rwanda,kenya,192.168.120.45,192.168.120.45,451,6
Mon,09:37:52,rwanda,kenya,192.168.1.241,192.168.1.241,6,7
Mon,09:37:52,rwanda,kenya,197.243.126.29,197.243.126.29,4,8
Mon,09:37:52,rwanda,kenya,41.223.224.210,41.223.224.210,224,9
Mon,09:37:52,rwanda,kenya,*,*,*,10
Mon,09:37:52,rwanda,kenya,teng0-0-1-3.lug-p1-kpl.liquidtelecom.net,197.155.94.80,223,11
Mon,09:37:52,rwanda,kenya,*,*,*,12
Mon,09:37:52,rwanda,kenya,teng0-0-1-0-pe1-nbi.liquidtelecom.net,197.155.94.7,226,13
Mon,09:37:52,rwanda,kenya,196.223.21.15,196.223.21.15,32,14
Mon,09:37:52,rwanda,kenya,196.201.222.233,196.201.222.233,50,15
Mon,09:37:52,rwanda,kenya,196.201.222.166,196.201.222.166,50,16
Mon,09:37:52,rwanda,kenya,172.17.28.1,172.17.28.1,48,17
Mon,09:37:52,rwanda,kenya,172.17.28.1,172.17.28.1,46,18
Mon,09:37:52,rwanda,kenya,*,*,*,19
Mon,09:37:52,rwanda,kenya,*,*,*,20
Mon,09:37:52,rwanda,kenya,*,*,*,21
Mon,09:37:52,rwanda,kenya,*,*,*,22
Mon,09:37:52,rwanda,kenya,*,*,*,23
Mon,09:37:52,rwanda,kenya,*,*,*,24
Mon,09:37:52,rwanda,kenya,*,*,*,25
Mon,09:37:52,rwanda,kenya,*,*,*,26
Mon,09:37:52,rwanda,kenya,*,*,*,27
Mon,09:37:52,rwanda,kenya,*,*,*,28
Mon,09:37:52,rwanda,kenya,*,*,*,29
Mon,09:37:52,rwanda,kenya,*,*,*,30
Mon,09:48:06,rwanda,kenya,gateway,192.168.230.1,1,1
Mon,09:48:06,rwanda,kenya,192.168.15.2,192.168.15.2,3,2
Mon,09:48:06,rwanda,kenya,192.168.3.176,192.168.3.176,3,3
Mon,09:48:06,rwanda,kenya,192.168.3.248,192.168.3.248,14,4
Mon,09:48:06,rwanda,kenya,197.243.115.237,197.243.115.237,14,5
Mon,09:48:06,rwanda,kenya,192.168.120.45,192.168.120.45,4,6
Mon,09:48:06,rwanda,kenya,192.168.1.241,192.168.1.241,6,7
Mon,09:48:06,rwanda,kenya,197.243.126.29,197.243.126.29,5,8
Mon,09:48:06,rwanda,kenya,41.223.224.210,41.223.224.210,234,9
