Day, Time, Origin, Destination, DNS, Hop IP, Duration, Hop Count
Mon,09:28:29,rwanda,oregon,gateway,192.168.230.1,2,1
Mon,09:28:29,rwanda,oregon,192.168.15.2,192.168.15.2,3,2
Mon,09:28:29,rwanda,oregon,192.168.3.176,192.168.3.176,12,3
Mon,09:28:29,rwanda,oregon,192.168.3.248,192.168.3.248,25,4
Mon,09:28:29,rwanda,oregon,197.243.115.237,197.243.115.237,16,5
Mon,09:28:29,rwanda,oregon,192.168.120.45,192.168.120.45,32,6
Mon,09:28:29,rwanda,oregon,192.168.1.241,192.168.1.241,7,7
Mon,09:28:29,rwanda,oregon,197.243.126.29,197.243.126.29,13,8
Mon,09:28:29,rwanda,oregon,41.223.224.210,41.223.224.210,230,9
Mon,09:28:29,rwanda,oregon,197.155.94.164.liquidtelecom.net,197.155.94.164,232,10
Mon,09:28:29,rwanda,oregon,teng0-0-1-3.lug-p1-kpl.liquidtelecom.net,197.155.94.80,230,11
Mon,09:28:29,rwanda,oregon,teng0-1-1-1.lke-p1-nbi.liquidtelecom.net,197.155.94.68,230,12
Mon,09:28:29,rwanda,oregon,teng0-0-1-0-p2-msa.liquidtelecom.net,197.155.94.11,280,13
Mon,09:28:29,rwanda,oregon,teng-0-0-1-2-pe1-fuj.liquidtelecom.net,197.155.94.82,227,14
Mon,09:28:29,rwanda,oregon,teng0-0-0-1-luk-p2-tho.liquidtelecom.net,5.11.10.214,227,15
Mon,09:28:29,rwanda,oregon,v204.core1.lon1.he.net,216.66.86.109,234,16
Mon,09:28:29,rwanda,oregon,10ge2-9.core1.lon2.he.net,72.52.92.222,242,17
Mon,09:28:29,rwanda,oregon,100ge4-1.core1.nyc4.he.net,72.52.92.166,361,18
Mon,09:28:29,rwanda,oregon,100ge14-1.core1.tor1.he.net,184.105.80.10,361,19
Mon,09:28:29,rwanda,oregon,100ge6-1.core1.ywg1.he.net,184.105.64.102,360,20
Mon,09:28:29,rwanda,oregon,100ge10-1.core1.yyc1.he.net,184.105.222.98,361,21
Mon,09:28:29,rwanda,oregon,100ge10-2.core1.yvr1.he.net,184.105.64.113,360,22
Mon,09:28:29,rwanda,oregon,100ge10-2.core1.sea1.he.net,184.105.64.109,348,23
Mon,09:28:29,rwanda,oregon,*,*,*,24
Mon,09:28:29,rwanda,oregon,52.95.52.224,52.95.52.224,363,25
Mon,09:28:29,rwanda,oregon,52.95.52.229,52.95.52.229,350,26
Mon,09:28:29,rwanda,oregon,54.239.42.215,54.239.42.215,357,27
Mon,09:28:29,rwanda,oregon,*,*,*,28
Mon,09:28:29,rwanda,oregon,52.93.13.35,52.93.13.35,362,29
Mon,09:28:29,rwanda,oregon,52.93.12.143,52.93.12.143,358,30
Mon,09:39:17,rwanda,oregon,gateway,192.168.230.1,3,1
Mon,09:39:17,rwanda,oregon,192.168.15.2,192.168.15.2,4,2
Mon,09:39:17,rwanda,oregon,192.168.3.176,192.168.3.176,14,3
Mon,09:39:17,rwanda,oregon,192.168.3.248,192.168.3.248,16,4
Mon,09:39:17,rwanda,oregon,197.243.115.237,197.243.115.237,25,5
Mon,09:39:17,rwanda,oregon,192.168.120.45,192.168.120.45,13,6
Mon,09:39:17,rwanda,oregon,192.168.1.241,192.168.1.241,7,7
Mon,09:39:17,rwanda,oregon,197.243.126.29,197.243.126.29,9,8
Mon,09:39:17,rwanda,oregon,41.223.224.210,41.223.224.210,228,9
Mon,09:39:17,rwanda,oregon,197.155.94.164.liquidtelecom.net,197.155.94.164,228,10
Mon,09:39:17,rwanda,oregon,197.155.94.148.liquidtelecom.net,197.155.94.148,232,11
Mon,09:39:17,rwanda,oregon,teng0-0-1-3-p1-kpl.liquidtelecom.net,197.155.94.19,226,12
Mon,09:39:17,rwanda,oregon,197.155.94.169.liquidtelecom.net,197.155.94.169,225,13
Mon,09:39:17,rwanda,oregon,teng-0-0-1-2-pe1-fuj.liquidtelecom.net,197.155.94.82,229,14
Mon,09:39:17,rwanda,oregon,teng0-0-0-1-luk-p2-tho.liquidtelecom.net,5.11.10.214,294,15
