Day, Time, Origin, Destination, DNS, Hop IP, Duration, Hop Count
Fri,00:05:19,rwanda,algeria,rwanda-fw-252.net.rwanda.cmu.local,172.29.52.1,7,1
Fri,00:05:19,rwanda,algeria,41.74.174.49,41.74.174.49,6,2
Fri,00:05:19,rwanda,algeria,197.243.126.165,197.243.126.165,8,3
Fri,00:05:19,rwanda,algeria,192.168.1.253,192.168.1.253,8,4
Fri,00:05:19,rwanda,algeria,192.168.1.230,192.168.1.230,8,5
Fri,00:05:19,rwanda,algeria,197.243.126.29,197.243.126.29,23,6
Fri,00:05:19,rwanda,algeria,41.223.224.210,41.223.224.210,5,7
Fri,00:05:19,rwanda,algeria,197.155.94.164.liquidtelecom.net,197.155.94.164,164,8
Fri,00:05:19,rwanda,algeria,teng0-2-0-0.lke-p2-nbi.liquidtelecom.net,197.155.94.96,164,9
Fri,00:05:19,rwanda,algeria,teng0-0-1-3-p1-msa.liquidtelecom.net,197.155.94.9,26,10
Fri,00:05:19,rwanda,algeria,teng0-0-1-0-0-lfr-pe1-mrs.liquidtelecom.net,5.11.10.122,164,11
Fri,00:05:19,rwanda,algeria,teng0-3-0-4.luk-p1-tho.liquidtelecom.net,5.11.10.121,272,12
Fri,00:05:19,rwanda,algeria,bundle-ether3-luk-pe1-tho.liquidtelecom.net,5.11.10.103,231,13
Fri,00:05:19,rwanda,algeria,ix-xe-0-3-3-100.tcore2.ldn-london.as6453.net,80.231.20.61,231,14
Fri,00:05:19,rwanda,algeria,if-ae-26-2.tcore1.ldn-london.as6453.net,80.231.62.58,231,15
Fri,00:05:19,rwanda,algeria,195.219.83.30,195.219.83.30,231,16
Fri,00:05:19,rwanda,algeria,172.16.44.138,172.16.44.138,254,17
Fri,00:05:19,rwanda,algeria,172.31.2.83,172.31.2.83,254,18
Fri,00:05:19,rwanda,algeria,10.10.13.99,10.10.13.99,253,19
Fri,00:05:19,rwanda,algeria,*,*,*,20
Fri,00:05:19,rwanda,algeria,*,*,*,21
Fri,00:05:19,rwanda,algeria,*,*,*,22
Fri,00:05:19,rwanda,algeria,*,*,*,23
Fri,00:05:19,rwanda,algeria,*,*,*,24
Fri,00:05:19,rwanda,algeria,*,*,*,25
Fri,00:05:19,rwanda,algeria,*,*,*,26
Fri,00:05:19,rwanda,algeria,*,*,*,27
Fri,00:05:19,rwanda,algeria,*,*,*,28
Fri,00:05:19,rwanda,algeria,*,*,*,29
Fri,00:05:19,rwanda,algeria,*,*,*,30
Fri,00:15:46,rwanda,algeria,rwanda-fw-252.net.rwanda.cmu.local,172.29.52.1,4,1
Fri,00:15:46,rwanda,algeria,41.74.174.49,41.74.174.49,6,2
Fri,00:15:46,rwanda,algeria,197.243.126.165,197.243.126.165,7,3
Fri,00:15:46,rwanda,algeria,192.168.1.253,192.168.1.253,7,4
Fri,00:15:46,rwanda,algeria,192.168.1.230,192.168.1.230,7,5
Fri,00:15:46,rwanda,algeria,197.243.126.29,197.243.126.29,7,6
Fri,00:15:46,rwanda,algeria,41.223.224.210,41.223.224.210,6,7
Fri,00:15:46,rwanda,algeria,197.155.94.164.liquidtelecom.net,197.155.94.164,176,8
Fri,00:15:46,rwanda,algeria,pos0-1-1-2-p1-msa.liquidtelecom.net,197.155.94.42,176,9
Fri,00:15:46,rwanda,algeria,teng0-0-1-3-p1-msa.liquidtelecom.net,197.155.94.9,27,10
Fri,00:15:46,rwanda,algeria,teng0-0-1-0-0-lfr-pe1-mrs.liquidtelecom.net,5.11.10.122,176,11
Fri,00:15:46,rwanda,algeria,teng0-3-0-4.luk-p1-tho.liquidtelecom.net,5.11.10.121,170,12
Fri,00:15:46,rwanda,algeria,bundle-ether3-luk-pe1-tho.liquidtelecom.net,5.11.10.103,161,13
Fri,00:15:46,rwanda,algeria,ix-xe-0-3-3-100.tcore2.ldn-london.as6453.net,80.231.20.61,167,14
Fri,00:15:46,rwanda,algeria,if-ae-26-2.tcore1.ldn-london.as6453.net,80.231.62.58,167,15
Fri,00:15:46,rwanda,algeria,195.219.83.30,195.219.83.30,167,16
Fri,00:15:46,rwanda,algeria,172.16.44.138,172.16.44.138,213,17
Fri,00:15:46,rwanda,algeria,172.31.2.83,172.31.2.83,275,18
Fri,00:15:46,rwanda,algeria,10.10.13.99,10.10.13.99,261,19
Fri,00:15:46,rwanda,algeria,*,*,*,20
Fri,00:15:46,rwanda,algeria,*,*,*,21
Fri,00:15:46,rwanda,algeria,*,*,*,22
Fri,00:15:46,rwanda,algeria,*,*,*,23
Fri,00:15:46,rwanda,algeria,*,*,*,24
Fri,00:15:46,rwanda,algeria,*,*,*,25
Fri,00:15:46,rwanda,algeria,*,*,*,26
Fri,00:15:46,rwanda,algeria,*,*,*,27
Fri,00:15:46,rwanda,algeria,*,*,*,28
Fri,00:15:46,rwanda,algeria,*,*,*,29
Fri,00:15:46,rwanda,algeria,*,*,*,30
Thu,16:20:41,rwanda,algeria,rwanda-fw-252.net.rwanda.cmu.local,172.29.52.1,1,1
Thu,16:20:41,rwanda,algeria,41.74.174.49,41.74.174.49,6,2
Thu,16:20:41,rwanda,algeria,197.243.126.165,197.243.126.165,7,3
Thu,16:20:41,rwanda,algeria,192.168.1.253,192.168.1.253,6,4
