Day, Time, Origin, Destination, DNS, Hop IP, Duration, Hop Count
Fri,00:08:56,rwanda,japan,rwanda-fw-252.net.rwanda.cmu.local,172.29.52.1,1,1
Fri,00:08:56,rwanda,japan,41.74.174.49,41.74.174.49,4,2
Fri,00:08:56,rwanda,japan,197.243.126.165,197.243.126.165,5,3
Fri,00:08:56,rwanda,japan,192.168.1.253,192.168.1.253,4,4
Fri,00:08:56,rwanda,japan,192.168.1.230,192.168.1.230,6,5
Fri,00:08:56,rwanda,japan,197.243.126.29,197.243.126.29,6,6
Fri,00:08:56,rwanda,japan,41.223.224.210,41.223.224.210,4,7
Fri,00:08:56,rwanda,japan,197.155.94.164.liquidtelecom.net,197.155.94.164,188,8
Fri,00:08:56,rwanda,japan,197.155.94.148.liquidtelecom.net,197.155.94.148,188,9
Fri,00:08:56,rwanda,japan,teng0-0-1-3-p1-kpl.liquidtelecom.net,197.155.94.19,188,10
Fri,00:08:56,rwanda,japan,197.155.94.169.liquidtelecom.net,197.155.94.169,27,11
Fri,00:08:56,rwanda,japan,teng-0-0-1-2-pe1-fuj.liquidtelecom.net,197.155.94.82,75,12
Fri,00:08:56,rwanda,japan,teng0-0-0-1-luk-p2-tho.liquidtelecom.net,5.11.10.214,232,13
Fri,00:08:56,rwanda,japan,teng0-0-0-0-luk-pe1-tcy.liquidtelecom.net,5.11.10.99,232,14
Fri,00:08:56,rwanda,japan,tenge13-2.br02.ams01.pccwbtn.net,80.249.209.37,232,15
Fri,00:08:56,rwanda,japan,tenge4-2.br01.tok02.pccwbtn.net,63.218.250.37,441,16
Fri,00:08:56,rwanda,japan,tenge0-3-0-8.br02.tok02.pccwbtn.net,63.218.250.129,441,17
Fri,00:08:56,rwanda,japan,63-216-242-54.static.pccwglobal.net,63.216.242.54,418,18
Fri,00:08:56,rwanda,japan,52.95.30.149,52.95.30.149,482,19
Fri,00:08:56,rwanda,japan,52.95.30.20,52.95.30.20,482,20
Fri,00:08:56,rwanda,japan,54.239.52.113,54.239.52.113,482,21
Fri,00:08:56,rwanda,japan,52.95.31.37,52.95.31.37,436,22
Fri,00:08:56,rwanda,japan,52.95.31.130,52.95.31.130,425,23
Fri,00:08:56,rwanda,japan,52.95.30.212,52.95.30.212,442,24
Fri,00:08:56,rwanda,japan,*,*,*,25
Fri,00:08:56,rwanda,japan,*,*,*,26
Fri,00:08:56,rwanda,japan,*,*,*,27
Fri,00:08:56,rwanda,japan,ec2-52-192-1-165.ap-northeast-1.compute.amazonaws.com,52.192.1.165,426,28
Fri,00:19:22,rwanda,japan,rwanda-fw-252.net.rwanda.cmu.local,172.29.52.1,3,1
Fri,00:19:22,rwanda,japan,41.74.174.49,41.74.174.49,6,2
Fri,00:19:22,rwanda,japan,197.243.126.165,197.243.126.165,7,3
Fri,00:19:22,rwanda,japan,192.168.1.253,192.168.1.253,7,4
Fri,00:19:22,rwanda,japan,192.168.1.230,192.168.1.230,8,5
Fri,00:19:22,rwanda,japan,197.243.126.29,197.243.126.29,15,6
Fri,00:19:22,rwanda,japan,41.223.224.210,41.223.224.210,6,7
Fri,00:19:22,rwanda,japan,197.155.94.164.liquidtelecom.net,197.155.94.164,188,8
Fri,00:19:22,rwanda,japan,teng0-0-1-3.lug-p1-kpl.liquidtelecom.net,197.155.94.80,184,9
Fri,00:19:22,rwanda,japan,teng0-0-1-3-p1-kpl.liquidtelecom.net,197.155.94.19,186,10
Fri,00:19:22,rwanda,japan,teng0-0-1-0-p2-msa.liquidtelecom.net,197.155.94.11,26,11
Fri,00:19:22,rwanda,japan,teng-0-0-1-2-pe1-fuj.liquidtelecom.net,197.155.94.82,73,12
Fri,00:19:22,rwanda,japan,teng0-0-0-1-luk-p2-tho.liquidtelecom.net,5.11.10.214,208,13
Fri,00:19:22,rwanda,japan,teng0-0-0-0-luk-pe1-tcy.liquidtelecom.net,5.11.10.99,182,14
Fri,00:19:22,rwanda,japan,tenge13-2.br02.ams01.pccwbtn.net,80.249.209.37,192,15
Fri,00:19:22,rwanda,japan,tenge4-2.br01.tok02.pccwbtn.net,63.218.250.37,448,16
Fri,00:19:22,rwanda,japan,tenge0-3-0-9.br02.tok02.pccwbtn.net,63.218.250.133,448,17
Fri,00:19:22,rwanda,japan,63-218-251-238.static.pccwglobal.net,63.218.251.238,437,18
Fri,00:19:22,rwanda,japan,52.95.30.167,52.95.30.167,424,19
Fri,00:19:22,rwanda,japan,52.95.30.24,52.95.30.24,426,20
Fri,00:19:22,rwanda,japan,54.239.52.111,54.239.52.111,424,21
Fri,00:19:22,rwanda,japan,52.95.31.15,52.95.31.15,432,22
Fri,00:19:22,rwanda,japan,52.95.31.126,52.95.31.126,427,23
Fri,00:19:22,rwanda,japan,52.95.30.212,52.95.30.212,423,24
Fri,00:19:22,rwanda,japan,*,*,*,25
Fri,00:19:22,rwanda,japan,*,*,*,26
Fri,00:19:22,rwanda,japan,*,*,*,27
Fri,00:19:22,rwanda,japan,ec2-52-192-1-165.ap-northeast-1.compute.amazonaws.com,52.192.1.165,450,28
Thu,16:27:26,rwanda,japan,rwanda-fw-252.net.rwanda.cmu.local,172.29.52.1,1,1
Thu,16:27:26,rwanda,japan,41.74.174.49,41.74.174.49,6,2
Thu,16:27:26,rwanda,japan,197.243.126.165,197.243.126.165,9,3
Thu,16:27:26,rwanda,japan,192.168.1.253,192.168.1.253,7,4
Thu,16:27:26,rwanda,japan,192.168.1.230,192.168.1.230,9,5
Thu,16:27:26,rwanda,japan,197.243.126.29,197.243.126.29,9,6
Thu,16:27:26,rwanda,japan,41.223.224.210,41.223.224.210,4,7
Thu,16:27:26,rwanda,japan,197.155.94.164.liquidtelecom.net,197.155.94.164,181,8
Thu,16:27:26,rwanda,japan,teng0-0-1-3.lug-p1-kpl.liquidtelecom.net,197.155.94.80,182,9
Thu,16:27:26,rwanda,japan,teng0-1-1-1.lke-p1-nbi.liquidtelecom.net,197.155.94.68,182,10
Thu,16:27:26,rwanda,japan,teng0-0-1-0-p2-msa.liquidtelecom.net,197.155.94.11,25,11
Thu,16:27:26,rwanda,japan,teng-0-0-1-2-pe1-fuj.liquidtelecom.net,197.155.94.82,72,12
Thu,16:27:26,rwanda,japan,teng-0-0-1-2-pe1-fuj.liquidtelecom.net,197.155.94.82,72,13
Thu,16:27:26,rwanda,japan,teng0-0-0-1-luk-p2-tho.liquidtelecom.net,5.11.10.214,273,14
Thu,16:27:26,rwanda,japan,teng0-0-0-0-luk-pe1-tcy.liquidtelecom.net,5.11.10.99,273,15
Thu,16:27:26,rwanda,japan,tenge13-2.br02.ams01.pccwbtn.net,80.249.209.37,273,16
Thu,16:27:26,rwanda,japan,tenge4-2.br01.tok02.pccwbtn.net,63.218.250.37,449,17
Thu,16:27:26,rwanda,japan,tenge0-3-0-7.br02.tok02.pccwbtn.net,63.218.250.121,433,18
Thu,16:27:26,rwanda,japan,63-216-242-78.static.pccwglobal.net,63.216.242.78,433,19
Thu,16:27:26,rwanda,japan,52.95.30.153,52.95.30.153,506,20
Thu,16:27:26,rwanda,japan,52.95.30.16,52.95.30.16,506,21
Thu,16:27:26,rwanda,japan,54.239.52.111,54.239.52.111,506,22
Thu,16:27:26,rwanda,japan,52.95.31.19,52.95.31.19,473,23
Thu,16:27:26,rwanda,japan,52.95.31.122,52.95.31.122,473,24
Thu,16:27:26,rwanda,japan,52.95.30.208,52.95.30.208,426,25
Thu,16:27:26,rwanda,japan,*,*,*,26
Thu,16:27:26,rwanda,japan,*,*,*,27
Thu,16:27:26,rwanda,japan,*,*,*,28
Thu,16:27:26,rwanda,japan,ec2-52-192-1-165.ap-northeast-1.compute.amazonaws.com,52.192.1.165,506,29
Thu,16:38:23,rwanda,japan,rwanda-fw-252.net.rwanda.cmu.local,172.29.52.1,1,1
Thu,16:38:23,rwanda,japan,41.74.174.49,41.74.174.49,4,2
Thu,16:38:23,rwanda,japan,197.243.126.165,197.243.126.165,5,3
Thu,16:38:23,rwanda,japan,192.168.1.253,192.168.1.253,5,4
Thu,16:38:23,rwanda,japan,192.168.1.230,192.168.1.230,5,5
Thu,16:38:23,rwanda,japan,197.243.126.29,197.243.126.29,5,6
Thu,16:38:23,rwanda,japan,41.223.224.210,41.223.224.210,4,7
Thu,16:38:23,rwanda,japan,197.155.94.164.liquidtelecom.net,197.155.94.164,197,8
Thu,16:38:23,rwanda,japan,197.155.94.148.liquidtelecom.net,197.155.94.148,197,9
Thu,16:38:23,rwanda,japan,teng0-1-1-1.lke-p1-nbi.liquidtelecom.net,197.155.94.68,196,10
Thu,16:38:23,rwanda,japan,197.155.94.169.liquidtelecom.net,197.155.94.169,24,11
Thu,16:38:23,rwanda,japan,teng-0-0-1-2-pe1-fuj.liquidtelecom.net,197.155.94.82,72,12
Thu,16:38:23,rwanda,japan,teng0-0-0-1-luk-p2-tho.liquidtelecom.net,5.11.10.214,258,13
Thu,16:38:23,rwanda,japan,teng0-0-0-0-luk-pe1-tcy.liquidtelecom.net,5.11.10.99,214,14
Thu,16:38:23,rwanda,japan,tenge13-2.br02.ams01.pccwbtn.net,80.249.209.37,214,15
Thu,16:38:23,rwanda,japan,tenge4-2.br01.tok02.pccwbtn.net,63.218.250.37,521,16
Thu,16:38:23,rwanda,japan,tenge0-3-0-6.br02.tok02.pccwbtn.net,63.218.250.117,521,17
Thu,16:38:23,rwanda,japan,63-218-251-238.static.pccwglobal.net,63.218.251.238,492,18
