Day, Time, Origin, Destination, DNS, Hop IP, Duration, Hop Count
Fri,00:08:09,rwanda,kenya,rwanda-fw-252.net.rwanda.cmu.local,172.29.52.1,1,1
Fri,00:08:09,rwanda,kenya,41.74.174.49,41.74.174.49,4,2
Fri,00:08:09,rwanda,kenya,197.243.126.165,197.243.126.165,5,3
Fri,00:08:09,rwanda,kenya,192.168.1.253,192.168.1.253,5,4
Fri,00:08:09,rwanda,kenya,192.168.1.230,192.168.1.230,5,5
Fri,00:08:09,rwanda,kenya,197.243.126.29,197.243.126.29,5,6
Fri,00:08:09,rwanda,kenya,41.223.224.210,41.223.224.210,5,7
Fri,00:08:09,rwanda,kenya,197.155.94.164.liquidtelecom.net,197.155.94.164,18,8
Fri,00:08:09,rwanda,kenya,teng0-2-0-0.lke-p2-nbi.liquidtelecom.net,197.155.94.96,18,9
Fri,00:08:09,rwanda,kenya,teng0-1-1-1.lke-p1-nbi.liquidtelecom.net,197.155.94.68,18,10
Fri,00:08:09,rwanda,kenya,teng0-0-1-0-pe1-nbi.liquidtelecom.net,197.155.94.7,19,11
Fri,00:08:09,rwanda,kenya,196.201.222.233,196.201.222.233,23,12
Fri,00:08:09,rwanda,kenya,196.201.222.233,196.201.222.233,23,13
Fri,00:08:09,rwanda,kenya,196.201.222.166,196.201.222.166,32,14
Fri,00:08:09,rwanda,kenya,172.17.28.1,172.17.28.1,30,15
Fri,00:08:09,rwanda,kenya,*,*,*,16
Fri,00:08:09,rwanda,kenya,*,*,*,17
Fri,00:08:09,rwanda,kenya,*,*,*,18
Fri,00:08:09,rwanda,kenya,*,*,*,19
Fri,00:08:09,rwanda,kenya,*,*,*,20
Fri,00:08:09,rwanda,kenya,*,*,*,21
Fri,00:08:09,rwanda,kenya,*,*,*,22
Fri,00:08:09,rwanda,kenya,*,*,*,23
Fri,00:08:09,rwanda,kenya,*,*,*,24
Fri,00:08:09,rwanda,kenya,*,*,*,25
Fri,00:08:09,rwanda,kenya,*,*,*,26
Fri,00:08:09,rwanda,kenya,*,*,*,27
Fri,00:08:09,rwanda,kenya,*,*,*,28
Fri,00:08:09,rwanda,kenya,*,*,*,29
Fri,00:08:09,rwanda,kenya,*,*,*,30
Fri,00:18:35,rwanda,kenya,rwanda-fw-252.net.rwanda.cmu.local,172.29.52.1,1,1
Fri,00:18:35,rwanda,kenya,41.74.174.49,41.74.174.49,4,2
Fri,00:18:35,rwanda,kenya,197.243.126.165,197.243.126.165,5,3
Fri,00:18:35,rwanda,kenya,192.168.1.253,192.168.1.253,5,4
