Day, Time, Origin, Destination, DNS, Hop IP, Duration, Hop Count
Tue,18:34:48,rwanda,congo_DR,rwanda-fw-252.net.rwanda.cmu.local,172.29.52.1,1,1
Tue,18:34:48,rwanda,congo_DR,41.74.174.49,41.74.174.49,4,2
Tue,18:34:48,rwanda,congo_DR,197.243.126.165,197.243.126.165,5,3
Tue,18:34:48,rwanda,congo_DR,*,*,*,4
Tue,18:34:48,rwanda,congo_DR,192.168.1.230,192.168.1.230,5,5
Tue,18:34:48,rwanda,congo_DR,197.243.126.29,197.243.126.29,5,6
Tue,18:34:48,rwanda,congo_DR,41.223.224.210,41.223.224.210,10,7
Tue,18:34:48,rwanda,congo_DR,pos0-1-3-1.ltz-p1-dar.liquidtelecom.net,197.155.94.87,185,8
Tue,18:34:48,rwanda,congo_DR,pos0-4-2-2-p1-nbi.liquidtelecom.net,197.155.94.48,48,9
Tue,18:34:48,rwanda,congo_DR,teng0-0-1-0-0-lfr-pe1-mrs.liquidtelecom.net,5.11.10.122,186,10
Tue,18:34:48,rwanda,congo_DR,teng0-3-0-4.luk-p1-tho.liquidtelecom.net,5.11.10.121,274,11
Tue,18:34:48,rwanda,congo_DR,bundle-ether3-luk-pe1-tho.liquidtelecom.net,5.11.10.103,278,12
Tue,18:34:48,rwanda,congo_DR,xe-0-2-0-1.r00.londen10.uk.bb.gin.ntt.net,83.231.146.209,278,13
Tue,18:34:48,rwanda,congo_DR,ae-13.r24.londen12.uk.bb.gin.ntt.net,129.250.4.25,278,14
Tue,18:34:48,rwanda,congo_DR,ae-5.r24.nycmny01.us.bb.gin.ntt.net,129.250.2.18,278,15
Tue,18:34:48,rwanda,congo_DR,ae-1.r25.nycmny01.us.bb.gin.ntt.net,129.250.3.207,273,16
Tue,18:34:48,rwanda,congo_DR,ae-9.r22.asbnva02.us.bb.gin.ntt.net,129.250.2.149,273,17
Tue,18:34:48,rwanda,congo_DR,ae-6.r22.dllstx09.us.bb.gin.ntt.net,129.250.5.12,309,18
Tue,18:34:48,rwanda,congo_DR,ae-2.r11.dllstx09.us.bb.gin.ntt.net,129.250.5.14,309,19
Tue,18:34:48,rwanda,congo_DR,ce-0-16-0-3.r10.dllstx09.us.ce.gin.ntt.net,128.242.179.18,309,20
Tue,18:34:48,rwanda,congo_DR,162-215-243-5.unifiedlayer.com,162.215.243.5,309,21
Tue,18:34:48,rwanda,congo_DR,162-215-243-233.unifiedlayer.com,162.215.243.233,332,22
Tue,18:34:48,rwanda,congo_DR,162-144-240-153.unifiedlayer.com,162.144.240.153,408,23
Tue,18:34:48,rwanda,congo_DR,162-144-240-11.unifiedlayer.com,162.144.240.11,408,24
Tue,18:34:48,rwanda,congo_DR,*,*,*,25
Tue,18:46:48,rwanda,congo_DR,rwanda-fw-252.net.rwanda.cmu.local,172.29.52.1,1,1
Tue,18:46:48,rwanda,congo_DR,41.74.174.49,41.74.174.49,4,2
Tue,18:46:48,rwanda,congo_DR,197.243.126.165,197.243.126.165,5,3
Tue,18:46:48,rwanda,congo_DR,192.168.1.253,192.168.1.253,4,4
Tue,18:46:48,rwanda,congo_DR,192.168.1.230,192.168.1.230,5,5
Tue,18:46:48,rwanda,congo_DR,197.243.126.29,197.243.126.29,5,6
Tue,18:46:48,rwanda,congo_DR,41.223.224.210,41.223.224.210,5,7
Tue,18:46:48,rwanda,congo_DR,pos0-1-3-1.ltz-p1-dar.liquidtelecom.net,197.155.94.87,180,8
Tue,18:46:48,rwanda,congo_DR,pos0-4-2-2-p1-nbi.liquidtelecom.net,197.155.94.48,40,9
Tue,18:46:48,rwanda,congo_DR,teng0-0-1-0-0-lfr-pe1-mrs.liquidtelecom.net,5.11.10.122,179,10
