Day, Time, Origin, Destination, DNS, Hop IP, Duration, Hop Count
Tue,18:35:31,rwanda,ghana,rwanda-fw-252.net.rwanda.cmu.local,172.29.52.1,1,1
Tue,18:35:31,rwanda,ghana,41.74.174.49,41.74.174.49,5,2
Tue,18:35:31,rwanda,ghana,197.243.126.165,197.243.126.165,5,3
Tue,18:35:31,rwanda,ghana,192.168.1.253,192.168.1.253,6,4
Tue,18:35:31,rwanda,ghana,192.168.1.230,192.168.1.230,6,5
Tue,18:35:31,rwanda,ghana,197.243.126.29,197.243.126.29,7,6
Tue,18:35:31,rwanda,ghana,41.223.224.210,41.223.224.210,3,7
Tue,18:35:31,rwanda,ghana,pos0-1-3-1.ltz-p1-dar.liquidtelecom.net,197.155.94.87,209,8
Tue,18:35:31,rwanda,ghana,pos0-4-2-2-p1-nbi.liquidtelecom.net,197.155.94.48,40,9
Tue,18:35:31,rwanda,ghana,teng0-0-1-0-0-lfr-pe1-mrs.liquidtelecom.net,5.11.10.122,210,10
Tue,18:35:31,rwanda,ghana,teng0-3-0-4.luk-p1-tho.liquidtelecom.net,5.11.10.121,211,11
Tue,18:35:31,rwanda,ghana,teng0-0-0-17.lza-pe1-cpt.liquidtelecom.net,5.11.10.171,285,12
Tue,18:35:31,rwanda,ghana,vodacom.ixp.capetown,196.10.140.12,245,13
Tue,18:35:31,rwanda,ghana,10.118.46.106,10.118.46.106,446,14
Tue,18:35:31,rwanda,ghana,41.21.232.70,41.21.232.70,446,15
Tue,18:35:31,rwanda,ghana,41-204-60-149-dedicated.4u.com.gh,41.204.60.149,446,16
Tue,18:35:31,rwanda,ghana,41-204-60-150-dedicated.4u.com.gh,41.204.60.150,420,17
Tue,18:35:31,rwanda,ghana,197.255.127.2,197.255.127.2,421,18
Tue,18:35:31,rwanda,ghana,197.255.127.35,197.255.127.35,427,19
Tue,18:35:31,rwanda,ghana,197.255.125.213,197.255.125.213,515,20
Tue,18:47:21,rwanda,ghana,rwanda-fw-252.net.rwanda.cmu.local,172.29.52.1,1,1
Tue,18:47:21,rwanda,ghana,41.74.174.49,41.74.174.49,5,2
Tue,18:47:21,rwanda,ghana,197.243.126.165,197.243.126.165,6,3
Tue,18:47:21,rwanda,ghana,192.168.1.253,192.168.1.253,5,4
Tue,18:47:21,rwanda,ghana,192.168.1.230,192.168.1.230,6,5
Tue,18:47:21,rwanda,ghana,197.243.126.29,197.243.126.29,5,6
Tue,18:47:21,rwanda,ghana,41.223.224.210,41.223.224.210,4,7
Tue,18:47:21,rwanda,ghana,pos0-1-3-1.ltz-p1-dar.liquidtelecom.net,197.155.94.87,326,8
Tue,18:47:21,rwanda,ghana,pos0-4-2-2-p1-nbi.liquidtelecom.net,197.155.94.48,40,9
