Day, Time, Origin, Destination, DNS, Hop IP, Duration, Hop Count
Tue,18:37:37,rwanda,japan,rwanda-fw-252.net.rwanda.cmu.local,172.29.52.1,1,1
Tue,18:37:37,rwanda,japan,41.74.174.49,41.74.174.49,4,2
Tue,18:37:37,rwanda,japan,197.243.126.165,197.243.126.165,5,3
Tue,18:37:37,rwanda,japan,192.168.1.253,192.168.1.253,5,4
Tue,18:37:37,rwanda,japan,192.168.1.230,192.168.1.230,5,5
Tue,18:37:37,rwanda,japan,197.243.126.29,197.243.126.29,5,6
Tue,18:37:37,rwanda,japan,41.223.224.210,41.223.224.210,3,7
Tue,18:37:37,rwanda,japan,teng0-0-1-1-lrw-pe1-kgl.liquidtelecom.net,197.155.94.58,238,8
Tue,18:37:37,rwanda,japan,gig0-0-0-17-lug-p1-kpl.liquidtelecom.net,197.155.94.56,238,9
Tue,18:37:37,rwanda,japan,teng0-1-1-1.lke-p1-nbi.liquidtelecom.net,197.155.94.68,238,10
Tue,18:37:37,rwanda,japan,197.155.94.169.liquidtelecom.net,197.155.94.169,52,11
Tue,18:37:37,rwanda,japan,teng-0-0-1-2-pe1-fuj.liquidtelecom.net,197.155.94.82,101,12
Tue,18:37:37,rwanda,japan,teng0-0-0-1-luk-p2-tho.liquidtelecom.net,5.11.10.214,208,13
Tue,18:37:37,rwanda,japan,teng0-0-0-0-luk-pe1-tcy.liquidtelecom.net,5.11.10.99,212,14
Tue,18:37:37,rwanda,japan,tenge13-2.br02.ams01.pccwbtn.net,80.249.209.37,217,15
Tue,18:37:37,rwanda,japan,tenge4-2.br01.tok02.pccwbtn.net,63.218.250.37,532,16
Tue,18:37:37,rwanda,japan,tenge0-3-0-8.br02.tok02.pccwbtn.net,63.218.250.129,428,17
Tue,18:37:37,rwanda,japan,63-218-251-238.static.pccwglobal.net,63.218.251.238,450,18
Tue,18:37:37,rwanda,japan,52.95.30.149,52.95.30.149,452,19
Tue,18:37:37,rwanda,japan,52.95.30.134,52.95.30.134,453,20
Tue,18:37:37,rwanda,japan,52.95.30.218,52.95.30.218,518,21
Tue,18:37:37,rwanda,japan,*,*,*,22
Tue,18:37:37,rwanda,japan,*,*,*,23
Tue,18:37:37,rwanda,japan,*,*,*,24
Tue,18:37:37,rwanda,japan,ec2-52-199-106-184.ap-northeast-1.compute.amazonaws.com,52.199.106.184,480,25
Tue,18:48:49,rwanda,japan,rwanda-fw-252.net.rwanda.cmu.local,172.29.52.1,4,1
Tue,18:48:49,rwanda,japan,41.74.174.49,41.74.174.49,4,2
Tue,18:48:49,rwanda,japan,197.243.126.165,197.243.126.165,5,3
Tue,18:48:49,rwanda,japan,192.168.1.253,192.168.1.253,6,4
Tue,18:48:49,rwanda,japan,192.168.1.230,192.168.1.230,5,5
Tue,18:48:49,rwanda,japan,197.243.126.29,197.243.126.29,6,6
Tue,18:48:49,rwanda,japan,41.223.224.210,41.223.224.210,5,7
Tue,18:48:49,rwanda,japan,teng0-0-1-1-lrw-pe1-kgl.liquidtelecom.net,197.155.94.58,207,8
Tue,18:48:49,rwanda,japan,gig0-0-0-17-lug-p1-kpl.liquidtelecom.net,197.155.94.56,211,9
Tue,18:48:49,rwanda,japan,teng0-1-1-1.lke-p1-nbi.liquidtelecom.net,197.155.94.68,208,10
Tue,18:48:49,rwanda,japan,teng0-0-1-0-p2-msa.liquidtelecom.net,197.155.94.11,53,11
Tue,18:48:49,rwanda,japan,teng-0-0-1-2-pe1-fuj.liquidtelecom.net,197.155.94.82,101,12
Tue,18:48:49,rwanda,japan,teng0-0-0-1-luk-p2-tho.liquidtelecom.net,5.11.10.214,280,13
Tue,18:48:49,rwanda,japan,teng0-0-0-0-luk-pe1-tcy.liquidtelecom.net,5.11.10.99,222,14
Tue,18:48:49,rwanda,japan,tenge13-2.br02.ams01.pccwbtn.net,80.249.209.37,222,15
Tue,18:48:49,rwanda,japan,tenge4-2.br01.tok02.pccwbtn.net,63.218.250.37,533,16
Tue,18:48:49,rwanda,japan,tenge0-3-0-9.br02.tok02.pccwbtn.net,63.218.250.133,533,17
Tue,18:48:49,rwanda,japan,63-216-242-54.static.pccwglobal.net,63.216.242.54,490,18
Tue,18:48:49,rwanda,japan,52.95.30.167,52.95.30.167,450,19
Tue,18:48:49,rwanda,japan,52.95.30.126,52.95.30.126,446,20
Tue,18:48:49,rwanda,japan,*,*,*,21
Tue,18:48:49,rwanda,japan,*,*,*,22
Tue,18:48:49,rwanda,japan,*,*,*,23
Tue,18:48:49,rwanda,japan,*,*,*,24
Tue,18:48:49,rwanda,japan,ec2-52-199-106-184.ap-northeast-1.compute.amazonaws.com,52.199.106.184,453,25
Tue,18:59:29,rwanda,japan,rwanda-fw-252.net.rwanda.cmu.local,172.29.52.1,1,1
Tue,18:59:29,rwanda,japan,41.74.174.49,41.74.174.49,4,2
Tue,18:59:29,rwanda,japan,197.243.126.165,197.243.126.165,5,3
Tue,18:59:29,rwanda,japan,192.168.1.253,192.168.1.253,5,4
Tue,18:59:29,rwanda,japan,192.168.1.230,192.168.1.230,5,5
Tue,18:59:29,rwanda,japan,197.243.126.29,197.243.126.29,5,6
Tue,18:59:29,rwanda,japan,41.223.224.210,41.223.224.210,3,7
Tue,18:59:29,rwanda,japan,teng0-0-1-0-pe1-kgl.liquidtelecom.net,197.155.94.28,204,8
Tue,18:59:29,rwanda,japan,gi0-0-0-19-p1-kpl.liquidtelecom.net,197.155.94.24,211,9
Tue,18:59:29,rwanda,japan,teng0-0-1-3-p1-kpl.liquidtelecom.net,197.155.94.19,206,10
Tue,18:59:29,rwanda,japan,197.155.94.169.liquidtelecom.net,197.155.94.169,46,11
Tue,18:59:29,rwanda,japan,teng-0-0-1-2-pe1-fuj.liquidtelecom.net,197.155.94.82,95,12
Tue,18:59:29,rwanda,japan,teng0-0-0-1-luk-p2-tho.liquidtelecom.net,5.11.10.214,219,13
Tue,18:59:29,rwanda,japan,teng0-0-0-0-luk-pe1-tcy.liquidtelecom.net,5.11.10.99,219,14
Tue,18:59:29,rwanda,japan,*,*,*,15
Tue,18:59:29,rwanda,japan,tenge4-2.br01.tok02.pccwbtn.net,63.218.250.37,526,16
Tue,18:59:29,rwanda,japan,tenge0-3-0-7.br02.tok02.pccwbtn.net,63.218.250.121,519,17
Tue,18:59:29,rwanda,japan,63-216-242-78.static.pccwglobal.net,63.216.242.78,459,18
Tue,18:59:29,rwanda,japan,52.95.30.143,52.95.30.143,460,19
Tue,18:59:29,rwanda,japan,52.95.30.122,52.95.30.122,462,20
Tue,18:59:29,rwanda,japan,52.95.30.206,52.95.30.206,511,21
Tue,18:59:29,rwanda,japan,*,*,*,22
Tue,18:59:29,rwanda,japan,*,*,*,23
Tue,18:59:29,rwanda,japan,*,*,*,24
Tue,18:59:29,rwanda,japan,*,*,*,25
Tue,19:10:23,rwanda,japan,rwanda-fw-252.net.rwanda.cmu.local,172.29.52.1,1,1
Tue,19:10:23,rwanda,japan,41.74.174.49,41.74.174.49,4,2
Tue,19:10:23,rwanda,japan,197.243.126.165,197.243.126.165,5,3
Tue,19:10:23,rwanda,japan,192.168.1.253,192.168.1.253,5,4
Tue,19:10:23,rwanda,japan,192.168.1.230,192.168.1.230,5,5
Tue,19:10:23,rwanda,japan,197.243.126.29,197.243.126.29,5,6
Tue,19:10:23,rwanda,japan,41.223.224.210,41.223.224.210,5,7
Tue,19:10:23,rwanda,japan,197.155.94.164.liquidtelecom.net,197.155.94.164,195,8
Tue,19:10:23,rwanda,japan,197.155.94.148.liquidtelecom.net,197.155.94.148,195,9
Tue,19:10:23,rwanda,japan,teng0-1-1-1.lke-p1-nbi.liquidtelecom.net,197.155.94.68,195,10
Tue,19:10:23,rwanda,japan,197.155.94.169.liquidtelecom.net,197.155.94.169,27,11
Tue,19:10:23,rwanda,japan,teng-0-0-1-2-pe1-fuj.liquidtelecom.net,197.155.94.82,75,12
Tue,19:10:23,rwanda,japan,teng0-0-0-1-luk-p2-tho.liquidtelecom.net,5.11.10.214,184,13
Tue,19:10:23,rwanda,japan,teng0-0-0-0-luk-pe1-tcy.liquidtelecom.net,5.11.10.99,184,14
Tue,19:10:23,rwanda,japan,tenge13-2.br02.ams01.pccwbtn.net,80.249.209.37,191,15
Tue,19:10:23,rwanda,japan,tenge4-2.br01.tok02.pccwbtn.net,63.218.250.37,534,16
Tue,19:10:23,rwanda,japan,tenge0-3-0-6.br02.tok02.pccwbtn.net,63.218.250.117,534,17
Tue,19:10:23,rwanda,japan,63-216-242-54.static.pccwglobal.net,63.216.242.54,496,18
Tue,19:10:23,rwanda,japan,52.95.30.145,52.95.30.145,437,19
Tue,19:10:23,rwanda,japan,52.95.30.132,52.95.30.132,436,20
Tue,19:10:23,rwanda,japan,52.95.30.214,52.95.30.214,436,21
Tue,19:10:23,rwanda,japan,*,*,*,22
Tue,19:10:23,rwanda,japan,*,*,*,23
Tue,19:10:23,rwanda,japan,*,*,*,24
