Day, Time, Origin, Destination, DNS, Hop IP, Duration, Hop Count
Tue,18:38:27,rwanda,oregon,rwanda-fw-252.net.rwanda.cmu.local,172.29.52.1,1,1
Tue,18:38:27,rwanda,oregon,41.74.174.49,41.74.174.49,4,2
Tue,18:38:27,rwanda,oregon,197.243.126.165,197.243.126.165,5,3
Tue,18:38:27,rwanda,oregon,192.168.1.253,192.168.1.253,5,4
Tue,18:38:27,rwanda,oregon,192.168.1.230,192.168.1.230,6,5
Tue,18:38:27,rwanda,oregon,197.243.126.29,197.243.126.29,18,6
Tue,18:38:27,rwanda,oregon,41.223.224.210,41.223.224.210,6,7
Tue,18:38:27,rwanda,oregon,teng0-0-1-1-lrw-pe1-kgl.liquidtelecom.net,197.155.94.58,207,8
Tue,18:38:27,rwanda,oregon,gig0-0-0-17-lug-p1-kpl.liquidtelecom.net,197.155.94.56,212,9
Tue,18:38:27,rwanda,oregon,teng0-0-1-3-p1-kpl.liquidtelecom.net,197.155.94.19,211,10
Tue,18:38:27,rwanda,oregon,197.155.94.169.liquidtelecom.net,197.155.94.169,53,11
Tue,18:38:27,rwanda,oregon,teng-0-0-1-2-pe1-fuj.liquidtelecom.net,197.155.94.82,109,12
Tue,18:38:27,rwanda,oregon,teng0-0-0-1-luk-p2-tho.liquidtelecom.net,5.11.10.214,305,13
Tue,18:38:27,rwanda,oregon,v204.core1.lon1.he.net,216.66.86.109,248,14
Tue,18:38:27,rwanda,oregon,10ge2-9.core1.lon2.he.net,72.52.92.222,248,15
Tue,18:38:27,rwanda,oregon,*,*,*,16
Tue,18:38:27,rwanda,oregon,100ge14-1.core1.tor1.he.net,184.105.80.10,290,17
Tue,18:38:27,rwanda,oregon,100ge6-1.core1.ywg1.he.net,184.105.64.102,319,18
Tue,18:38:27,rwanda,oregon,100ge10-1.core1.yyc1.he.net,184.105.222.98,334,19
Tue,18:38:27,rwanda,oregon,100ge10-2.core1.yvr1.he.net,184.105.64.113,342,20
Tue,18:38:27,rwanda,oregon,100ge10-2.core1.sea1.he.net,184.105.64.109,336,21
Tue,18:38:27,rwanda,oregon,six02-sea4.amazon.com,206.81.80.248,315,22
Tue,18:38:27,rwanda,oregon,52.95.52.224,52.95.52.224,340,23
Tue,18:38:27,rwanda,oregon,52.95.53.135,52.95.53.135,365,24
Tue,18:38:27,rwanda,oregon,54.239.43.126,54.239.43.126,365,25
Tue,18:38:27,rwanda,oregon,54.239.43.130,54.239.43.130,365,26
Tue,18:38:27,rwanda,oregon,*,*,*,27
Tue,18:38:27,rwanda,oregon,*,*,*,28
Tue,18:38:27,rwanda,oregon,52.93.12.182,52.93.12.182,379,29
Tue,18:38:27,rwanda,oregon,52.93.13.19,52.93.13.19,379,30
Tue,18:49:26,rwanda,oregon,rwanda-fw-252.net.rwanda.cmu.local,172.29.52.1,1,1
Tue,18:49:26,rwanda,oregon,41.74.174.49,41.74.174.49,4,2
Tue,18:49:26,rwanda,oregon,197.243.126.165,197.243.126.165,5,3
Tue,18:49:26,rwanda,oregon,192.168.1.253,192.168.1.253,5,4
Tue,18:49:26,rwanda,oregon,192.168.1.230,192.168.1.230,5,5
Tue,18:49:26,rwanda,oregon,197.243.126.29,197.243.126.29,39,6
Tue,18:49:26,rwanda,oregon,41.223.224.210,41.223.224.210,4,7
Tue,18:49:26,rwanda,oregon,teng0-0-1-1-lrw-pe1-kgl.liquidtelecom.net,197.155.94.58,211,8
Tue,18:49:26,rwanda,oregon,gi0-0-0-19-p1-kpl.liquidtelecom.net,197.155.94.24,214,9
Tue,18:49:26,rwanda,oregon,teng0-0-1-3-p1-kpl.liquidtelecom.net,197.155.94.19,211,10
Tue,18:49:26,rwanda,oregon,teng0-0-1-0-p2-msa.liquidtelecom.net,197.155.94.11,46,11
Tue,18:49:26,rwanda,oregon,teng-0-0-1-2-pe1-fuj.liquidtelecom.net,197.155.94.82,102,12
Tue,18:49:26,rwanda,oregon,teng0-0-0-1-luk-p2-tho.liquidtelecom.net,5.11.10.214,209,13
Tue,18:49:26,rwanda,oregon,v204.core1.lon1.he.net,216.66.86.109,207,14
Tue,18:49:26,rwanda,oregon,10ge2-9.core1.lon2.he.net,72.52.92.222,210,15
Tue,18:49:26,rwanda,oregon,100ge4-1.core1.nyc4.he.net,72.52.92.166,273,16
Tue,18:49:26,rwanda,oregon,100ge14-1.core1.tor1.he.net,184.105.80.10,286,17
Tue,18:49:26,rwanda,oregon,100ge6-1.core1.ywg1.he.net,184.105.64.102,311,18
Tue,18:49:26,rwanda,oregon,100ge10-1.core1.yyc1.he.net,184.105.222.98,340,19
Tue,18:49:26,rwanda,oregon,100ge10-2.core1.yvr1.he.net,184.105.64.113,331,20
Tue,18:49:26,rwanda,oregon,100ge10-2.core1.sea1.he.net,184.105.64.109,331,21
Tue,18:49:26,rwanda,oregon,six02-sea4.amazon.com,206.81.80.248,317,22
Tue,18:49:26,rwanda,oregon,52.95.52.120,52.95.52.120,346,23
Tue,18:49:26,rwanda,oregon,52.95.52.233,52.95.52.233,336,24
Tue,18:49:26,rwanda,oregon,54.239.42.219,54.239.42.219,342,25
Tue,18:49:26,rwanda,oregon,52.93.12.162,52.93.12.162,363,26
Tue,18:49:26,rwanda,oregon,52.93.12.152,52.93.12.152,344,27
Tue,18:49:26,rwanda,oregon,52.93.12.143,52.93.12.143,339,28
Tue,18:49:26,rwanda,oregon,52.93.13.25,52.93.13.25,358,29
Tue,18:49:26,rwanda,oregon,52.93.12.245,52.93.12.245,358,30
Tue,19:00:08,rwanda,oregon,rwanda-fw-252.net.rwanda.cmu.local,172.29.52.1,1,1
Tue,19:00:08,rwanda,oregon,41.74.174.49,41.74.174.49,4,2
Tue,19:00:08,rwanda,oregon,197.243.126.165,197.243.126.165,5,3
Tue,19:00:08,rwanda,oregon,192.168.1.253,192.168.1.253,5,4
Tue,19:00:08,rwanda,oregon,192.168.1.230,192.168.1.230,5,5
Tue,19:00:08,rwanda,oregon,197.243.126.29,197.243.126.29,5,6
Tue,19:00:08,rwanda,oregon,41.223.224.210,41.223.224.210,10,7
Tue,19:00:08,rwanda,oregon,teng0-0-1-1-lrw-pe1-kgl.liquidtelecom.net,197.155.94.58,203,8
Tue,19:00:08,rwanda,oregon,gi0-0-0-16.lug-p1-kpl.liquidtelecom.net,197.155.94.142,208,9
Tue,19:00:08,rwanda,oregon,teng0-1-1-1.lke-p1-nbi.liquidtelecom.net,197.155.94.68,208,10
Tue,19:00:08,rwanda,oregon,teng0-0-1-0-p2-msa.liquidtelecom.net,197.155.94.11,49,11
Tue,19:00:08,rwanda,oregon,teng-0-0-1-2-pe1-fuj.liquidtelecom.net,197.155.94.82,97,12
Tue,19:00:08,rwanda,oregon,teng0-0-0-1-luk-p2-tho.liquidtelecom.net,5.11.10.214,243,13
Tue,19:00:08,rwanda,oregon,v204.core1.lon1.he.net,216.66.86.109,208,14
Tue,19:00:08,rwanda,oregon,10ge2-9.core1.lon2.he.net,72.52.92.222,229,15
Tue,19:00:08,rwanda,oregon,100ge4-1.core1.nyc4.he.net,72.52.92.166,273,16
Tue,19:00:08,rwanda,oregon,100ge14-1.core1.tor1.he.net,184.105.80.10,279,17
Tue,19:00:08,rwanda,oregon,100ge6-1.core1.ywg1.he.net,184.105.64.102,305,18
Tue,19:00:08,rwanda,oregon,*,*,*,19
Tue,19:00:08,rwanda,oregon,100ge10-2.core1.yvr1.he.net,184.105.64.113,332,20
Tue,19:00:08,rwanda,oregon,100ge10-2.core1.sea1.he.net,184.105.64.109,331,21
Tue,19:00:08,rwanda,oregon,paix01-sea4.amazon.com,198.32.134.41,308,22
Tue,19:00:08,rwanda,oregon,52.95.52.18,52.95.52.18,343,23
