Day, Time, Origin, Destination, DNS, Hop IP, Duration, Hop Count
Tue,18:39:13,rwanda,uganda,rwanda-fw-252.net.rwanda.cmu.local,172.29.52.1,3,1
Tue,18:39:13,rwanda,uganda,41.74.174.49,41.74.174.49,6,2
Tue,18:39:13,rwanda,uganda,197.243.126.165,197.243.126.165,7,3
Tue,18:39:13,rwanda,uganda,192.168.1.253,192.168.1.253,7,4
Tue,18:39:13,rwanda,uganda,192.168.1.230,192.168.1.230,7,5
Tue,18:39:13,rwanda,uganda,197.243.126.29,197.243.126.29,7,6
Tue,18:39:13,rwanda,uganda,41.223.224.210,41.223.224.210,6,7
Tue,18:39:13,rwanda,uganda,teng0-0-1-1-lrw-pe1-kgl.liquidtelecom.net,197.155.94.58,19,8
Tue,18:39:13,rwanda,uganda,gig0-0-0-17-lug-p1-kpl.liquidtelecom.net,197.155.94.56,19,9
Tue,18:39:13,rwanda,uganda,teng0-0-1-0-pe1-kpl.liquidtelecom.net,197.155.94.23,21,10
Tue,18:39:13,rwanda,uganda,utl.peers.uixp.co.ug,196.223.25.36,21,11
Tue,18:39:13,rwanda,uganda,196.0.0.209,196.0.0.209,18,12
Tue,18:39:13,rwanda,uganda,l3-core-1.ip.utlonline.co.ug,196.0.0.25,19,13
Tue,18:39:13,rwanda,uganda,webhost2.utlonline.co.ug,196.0.3.3,19,14
Tue,18:50:04,rwanda,uganda,rwanda-fw-252.net.rwanda.cmu.local,172.29.52.1,1,1
Tue,18:50:04,rwanda,uganda,41.74.174.49,41.74.174.49,4,2
Tue,18:50:04,rwanda,uganda,197.243.126.165,197.243.126.165,5,3
Tue,18:50:04,rwanda,uganda,192.168.1.253,192.168.1.253,5,4
Tue,18:50:04,rwanda,uganda,192.168.1.230,192.168.1.230,5,5
Tue,18:50:04,rwanda,uganda,197.243.126.29,197.243.126.29,25,6
Tue,18:50:04,rwanda,uganda,41.223.224.210,41.223.224.210,4,7
Tue,18:50:04,rwanda,uganda,teng0-0-1-1-lrw-pe1-kgl.liquidtelecom.net,197.155.94.58,17,8
Tue,18:50:04,rwanda,uganda,gi0-0-0-16.lug-p1-kpl.liquidtelecom.net,197.155.94.142,10,9
Tue,18:50:04,rwanda,uganda,teng0-0-1-0-pe1-kpl.liquidtelecom.net,197.155.94.23,15,10
Tue,18:50:04,rwanda,uganda,utl.peers.uixp.co.ug,196.223.25.36,15,11
Tue,18:50:04,rwanda,uganda,196.0.0.209,196.0.0.209,16,12
Tue,18:50:04,rwanda,uganda,l3-core-1.ip.utlonline.co.ug,196.0.0.25,13,13
Tue,18:50:04,rwanda,uganda,webhost2.utlonline.co.ug,196.0.3.3,14,14
Tue,19:00:54,rwanda,uganda,rwanda-fw-252.net.rwanda.cmu.local,172.29.52.1,1,1
Tue,19:00:54,rwanda,uganda,41.74.174.49,41.74.174.49,4,2
Tue,19:00:54,rwanda,uganda,197.243.126.165,197.243.126.165,5,3
Tue,19:00:54,rwanda,uganda,192.168.1.253,192.168.1.253,5,4
Tue,19:00:54,rwanda,uganda,192.168.1.230,192.168.1.230,6,5
Tue,19:00:54,rwanda,uganda,197.243.126.29,197.243.126.29,5,6
Tue,19:00:54,rwanda,uganda,41.223.224.210,41.223.224.210,5,7
Tue,19:00:54,rwanda,uganda,teng0-0-1-0-pe1-kgl.liquidtelecom.net,197.155.94.28,11,8
Tue,19:00:54,rwanda,uganda,gig0-0-0-17-lug-p1-kpl.liquidtelecom.net,197.155.94.56,11,9
Tue,19:00:54,rwanda,uganda,teng0-0-1-0-pe1-kpl.liquidtelecom.net,197.155.94.23,11,10
Tue,19:00:54,rwanda,uganda,utl.peers.uixp.co.ug,196.223.25.36,11,11
Tue,19:00:54,rwanda,uganda,196.0.0.209,196.0.0.209,9,12
Tue,19:00:54,rwanda,uganda,l3-core-1.ip.utlonline.co.ug,196.0.0.25,10,13
Tue,19:00:54,rwanda,uganda,*,*,*,14
Tue,19:11:37,rwanda,uganda,rwanda-fw-252.net.rwanda.cmu.local,172.29.52.1,1,1
Tue,19:11:37,rwanda,uganda,41.74.174.49,41.74.174.49,4,2
Tue,19:11:37,rwanda,uganda,197.243.126.165,197.243.126.165,5,3
Tue,19:11:37,rwanda,uganda,192.168.1.253,192.168.1.253,5,4
Tue,19:11:37,rwanda,uganda,192.168.1.230,192.168.1.230,6,5
Tue,19:11:37,rwanda,uganda,197.243.126.29,197.243.126.29,5,6
Tue,19:11:37,rwanda,uganda,41.223.224.210,41.223.224.210,4,7
Tue,19:11:37,rwanda,uganda,197.155.94.164.liquidtelecom.net,197.155.94.164,10,8
Tue,19:11:37,rwanda,uganda,197.155.94.159.liquidtelecom.net,197.155.94.159,10,9
Tue,19:11:37,rwanda,uganda,utl.peers.uixp.co.ug,196.223.25.36,10,10
Tue,19:11:37,rwanda,uganda,196.0.0.209,196.0.0.209,11,11
Tue,19:11:37,rwanda,uganda,l3-core-1.ip.utlonline.co.ug,196.0.0.25,9,12
Tue,19:11:37,rwanda,uganda,webhost2.utlonline.co.ug,196.0.3.3,10,13
Tue,19:21:55,rwanda,uganda,rwanda-fw-252.net.rwanda.cmu.local,172.29.52.1,1,1
Tue,19:21:55,rwanda,uganda,41.74.174.49,41.74.174.49,30,2
Tue,19:21:55,rwanda,uganda,197.243.126.165,197.243.126.165,6,3
Tue,19:21:55,rwanda,uganda,192.168.1.253,192.168.1.253,6,4
Tue,19:21:55,rwanda,uganda,192.168.1.230,192.168.1.230,6,5
Tue,19:21:55,rwanda,uganda,197.243.126.29,197.243.126.29,6,6
Tue,19:21:55,rwanda,uganda,41.223.224.210,41.223.224.210,6,7
Tue,19:21:55,rwanda,uganda,197.155.94.164.liquidtelecom.net,197.155.94.164,10,8
Tue,19:21:55,rwanda,uganda,197.155.94.159.liquidtelecom.net,197.155.94.159,11,9
Tue,19:21:55,rwanda,uganda,utl.peers.uixp.co.ug,196.223.25.36,11,10
Tue,19:21:55,rwanda,uganda,196.0.0.209,196.0.0.209,11,11
Tue,19:21:55,rwanda,uganda,l3-core-1.ip.utlonline.co.ug,196.0.0.25,12,12
Tue,19:21:55,rwanda,uganda,webhost2.utlonline.co.ug,196.0.3.3,8,13
Tue,19:32:30,rwanda,uganda,rwanda-fw-252.net.rwanda.cmu.local,172.29.52.1,1,1
Tue,19:32:30,rwanda,uganda,41.74.174.49,41.74.174.49,4,2
Tue,19:32:30,rwanda,uganda,197.243.126.165,197.243.126.165,5,3
Tue,19:32:30,rwanda,uganda,192.168.1.253,192.168.1.253,5,4
Tue,19:32:30,rwanda,uganda,192.168.1.230,192.168.1.230,5,5
Tue,19:32:30,rwanda,uganda,197.243.126.29,197.243.126.29,10,6
Tue,19:32:30,rwanda,uganda,41.223.224.210,41.223.224.210,4,7
Tue,19:32:30,rwanda,uganda,197.155.94.164.liquidtelecom.net,197.155.94.164,9,8
Tue,19:32:30,rwanda,uganda,197.155.94.159.liquidtelecom.net,197.155.94.159,11,9
Tue,19:32:30,rwanda,uganda,utl.peers.uixp.co.ug,196.223.25.36,10,10
Tue,19:32:30,rwanda,uganda,196.0.0.209,196.0.0.209,11,11
Tue,19:32:30,rwanda,uganda,l3-core-1.ip.utlonline.co.ug,196.0.0.25,9,12
Tue,19:32:30,rwanda,uganda,webhost2.utlonline.co.ug,196.0.3.3,9,13
Tue,19:42:57,rwanda,uganda,rwanda-fw-252.net.rwanda.cmu.local,172.29.52.1,1,1
Tue,19:42:57,rwanda,uganda,41.74.174.49,41.74.174.49,5,2
Tue,19:42:57,rwanda,uganda,197.243.126.165,197.243.126.165,5,3
Tue,19:42:57,rwanda,uganda,192.168.1.253,192.168.1.253,5,4
Tue,19:42:57,rwanda,uganda,192.168.1.230,192.168.1.230,5,5
Tue,19:42:57,rwanda,uganda,197.243.126.29,197.243.126.29,5,6
Tue,19:42:57,rwanda,uganda,41.223.224.210,41.223.224.210,10,7
Tue,19:42:57,rwanda,uganda,197.155.94.164.liquidtelecom.net,197.155.94.164,15,8
Tue,19:42:57,rwanda,uganda,197.155.94.159.liquidtelecom.net,197.155.94.159,15,9
Tue,19:42:57,rwanda,uganda,utl.peers.uixp.co.ug,196.223.25.36,15,10
Tue,19:42:57,rwanda,uganda,196.0.0.209,196.0.0.209,15,11
Tue,19:42:57,rwanda,uganda,l3-core-1.ip.utlonline.co.ug,196.0.0.25,15,12
Tue,19:42:57,rwanda,uganda,webhost2.utlonline.co.ug,196.0.3.3,11,13
Tue,19:53:49,rwanda,uganda,rwanda-fw-252.net.rwanda.cmu.local,172.29.52.1,4,1
Tue,19:53:49,rwanda,uganda,41.74.174.49,41.74.174.49,4,2
Tue,19:53:49,rwanda,uganda,197.243.126.165,197.243.126.165,5,3
Tue,19:53:49,rwanda,uganda,192.168.1.253,192.168.1.253,5,4
Tue,19:53:49,rwanda,uganda,192.168.1.230,192.168.1.230,5,5
Tue,19:53:49,rwanda,uganda,197.243.126.29,197.243.126.29,5,6
Tue,19:53:49,rwanda,uganda,41.223.224.210,41.223.224.210,4,7
Tue,19:53:49,rwanda,uganda,197.155.94.164.liquidtelecom.net,197.155.94.164,10,8
Tue,19:53:49,rwanda,uganda,197.155.94.159.liquidtelecom.net,197.155.94.159,10,9
Tue,19:53:49,rwanda,uganda,utl.peers.uixp.co.ug,196.223.25.36,10,10
Tue,19:53:49,rwanda,uganda,196.0.0.209,196.0.0.209,11,11
Tue,19:53:49,rwanda,uganda,l3-core-1.ip.utlonline.co.ug,196.0.0.25,10,12
Tue,19:53:49,rwanda,uganda,webhost2.utlonline.co.ug,196.0.3.3,9,13
Tue,20:04:25,rwanda,uganda,rwanda-fw-252.net.rwanda.cmu.local,172.29.52.1,1,1
Tue,20:04:25,rwanda,uganda,41.74.174.49,41.74.174.49,4,2
Tue,20:04:25,rwanda,uganda,197.243.126.165,197.243.126.165,5,3
Tue,20:04:25,rwanda,uganda,192.168.1.253,192.168.1.253,5,4
Tue,20:04:25,rwanda,uganda,192.168.1.230,192.168.1.230,5,5
Tue,20:04:25,rwanda,uganda,197.243.126.29,197.243.126.29,6,6
Tue,20:04:25,rwanda,uganda,41.223.224.210,41.223.224.210,4,7
Tue,20:04:25,rwanda,uganda,197.155.94.164.liquidtelecom.net,197.155.94.164,9,8
Tue,20:04:25,rwanda,uganda,197.155.94.159.liquidtelecom.net,197.155.94.159,10,9
Tue,20:04:25,rwanda,uganda,utl.peers.uixp.co.ug,196.223.25.36,10,10
Tue,20:04:25,rwanda,uganda,196.0.0.209,196.0.0.209,11,11
Tue,20:04:25,rwanda,uganda,l3-core-1.ip.utlonline.co.ug,196.0.0.25,9,12
Tue,20:04:25,rwanda,uganda,webhost2.utlonline.co.ug,196.0.3.3,10,13
Tue,20:15:09,rwanda,uganda,rwanda-fw-252.net.rwanda.cmu.local,172.29.52.1,1,1
Tue,20:15:09,rwanda,uganda,41.74.174.49,41.74.174.49,4,2
Tue,20:15:09,rwanda,uganda,197.243.126.165,197.243.126.165,5,3
Tue,20:15:09,rwanda,uganda,192.168.1.253,192.168.1.253,5,4
Tue,20:15:09,rwanda,uganda,192.168.1.230,192.168.1.230,5,5
Tue,20:15:09,rwanda,uganda,197.243.126.29,197.243.126.29,4,6
Tue,20:15:09,rwanda,uganda,41.223.224.210,41.223.224.210,5,7
Tue,20:15:09,rwanda,uganda,197.155.94.164.liquidtelecom.net,197.155.94.164,10,8
Tue,20:15:09,rwanda,uganda,197.155.94.159.liquidtelecom.net,197.155.94.159,11,9
Tue,20:15:09,rwanda,uganda,utl.peers.uixp.co.ug,196.223.25.36,11,10
Tue,20:15:09,rwanda,uganda,196.0.0.209,196.0.0.209,12,11
Tue,20:15:09,rwanda,uganda,l3-core-1.ip.utlonline.co.ug,196.0.0.25,11,12
Tue,20:15:09,rwanda,uganda,webhost2.utlonline.co.ug,196.0.3.3,9,13
Tue,20:24:52,rwanda,uganda,rwanda-fw-252.net.rwanda.cmu.local,172.29.52.1,1,1
Tue,20:24:52,rwanda,uganda,41.74.174.49,41.74.174.49,4,2
Tue,20:24:52,rwanda,uganda,197.243.126.165,197.243.126.165,5,3
Tue,20:24:52,rwanda,uganda,192.168.1.253,192.168.1.253,5,4
Tue,20:24:52,rwanda,uganda,192.168.1.230,192.168.1.230,8,5
Tue,20:24:52,rwanda,uganda,197.243.126.29,197.243.126.29,5,6
Tue,20:24:52,rwanda,uganda,41.223.224.210,41.223.224.210,6,7
Tue,20:24:52,rwanda,uganda,197.155.94.164.liquidtelecom.net,197.155.94.164,11,8
Tue,20:24:52,rwanda,uganda,197.155.94.159.liquidtelecom.net,197.155.94.159,17,9
Tue,20:24:52,rwanda,uganda,utl.peers.uixp.co.ug,196.223.25.36,14,10
Tue,20:24:52,rwanda,uganda,196.0.0.209,196.0.0.209,16,11
Tue,20:24:52,rwanda,uganda,l3-core-1.ip.utlonline.co.ug,196.0.0.25,17,12
Tue,20:24:52,rwanda,uganda,webhost2.utlonline.co.ug,196.0.3.3,9,13
